parcel_id,survey_number,survey_display,owner_name,village,mandal,district,state,area_acres,centroid_lat,centroid_lon,verification_status,validation_issue
TG-RR-FNR-BRG-0041,41,41,N. Shankaraiah,Burgul,Farooqnagar,Rangareddy,Telangana,15.36,17.076384,78.17315,VERIFIED,
TG-RR-FNR-BRG-0042,42,42,P. Suseela,Burgul,Farooqnagar,Rangareddy,Telangana,2.67,17.077027,78.193011,VERIFIED,
TG-RR-FNR-BRG-0043,43,43,B. Vittal Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,2.47,17.076677,78.203203,VERIFIED,
TG-RR-FNR-BRG-0044,44,44,K. Padma,Burgul,Farooqnagar,Rangareddy,Telangana,2.34,17.076356,78.193272,VERIFIED,
TG-RR-FNR-BRG-0045,45,45,G. Lingaiah,Burgul,Farooqnagar,Rangareddy,Telangana,13.15,17.076352,78.175145,CONFLICT,Area mismatch: Document states 14.2 Acres vs GIS 13.15 Acres (8.0% diff)
TG-RR-FNR-BRG-0046,46,46,M. Krishna Murthy,Burgul,Farooqnagar,Rangareddy,Telangana,9.09,17.076433,78.186397,VERIFIED,
TG-RR-FNR-BRG-0047,47,47,S. Venkat Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,4.12,17.076691,78.197755,VERIFIED,
TG-RR-FNR-BRG-0048,48,48,A. Jagadeeshwar,Burgul,Farooqnagar,Rangareddy,Telangana,6.02,17.076208,78.199784,VERIFIED,
TG-RR-FNR-BRG-0049,49,49,G. Srinivas Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,6.79,17.076069,78.192269,VERIFIED,
TG-RR-FNR-BRG-0050,50,50,K. Venkateshwar Rao,Burgul,Farooqnagar,Rangareddy,Telangana,6.19,17.076299,78.196948,VERIFIED,
TG-RR-FNR-BRG-0051,51,51,M. Lakshmi Bai,Burgul,Farooqnagar,Rangareddy,Telangana,10.72,17.076688,78.184631,VERIFIED,
TG-RR-FNR-BRG-0052,52,52,P. Anjaneyulu,Burgul,Farooqnagar,Rangareddy,Telangana,2.68,17.076447,78.201951,VERIFIED,
TG-RR-FNR-BRG-0053,53,53,B. Satyanarayana,Burgul,Farooqnagar,Rangareddy,Telangana,4.31,17.075875,78.203567,VERIFIED,
TG-RR-FNR-BRG-0054,54,54,T. Ramaiah,Burgul,Farooqnagar,Rangareddy,Telangana,11.42,17.076594,78.177452,VERIFIED,
TG-RR-FNR-BRG-0055,55,55,Ch. Madhava Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,8.85,17.076209,78.190139,VERIFIED,
TG-RR-FNR-BRG-0056,56,56,V. Narsimha,Burgul,Farooqnagar,Rangareddy,Telangana,4.56,17.076102,78.19424,VERIFIED,
TG-RR-FNR-BRG-0057,57,57,S. Kistamma,Burgul,Farooqnagar,Rangareddy,Telangana,5.32,17.076103,78.195809,VERIFIED,
TG-RR-FNR-BRG-0058,58,58,A. Balraj,Burgul,Farooqnagar,Rangareddy,Telangana,1.64,17.07569,78.202765,VERIFIED,
TG-RR-FNR-BRG-0059,59,59,M. Mallesh Goud,Burgul,Farooqnagar,Rangareddy,Telangana,5.88,17.07583,78.201291,REVIEW_REQUIRED,Low OCR confidence in handwritten Tippon annotation
TG-RR-FNR-BRG-0060,60,60,K. Chandraiah,Burgul,Farooqnagar,Rangareddy,Telangana,2.8,17.075748,78.19892,VERIFIED,
TG-RR-FNR-BRG-0061,61,61,J. Ramachandra Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,10.81,17.076184,78.179297,VERIFIED,
TG-RR-FNR-BRG-0062,62,62,D. Gopal Rao,Burgul,Farooqnagar,Rangareddy,Telangana,2.41,17.075452,78.195153,VERIFIED,
TG-RR-FNR-BRG-0063,63,63,R. Prabhakar,Burgul,Farooqnagar,Rangareddy,Telangana,8.04,17.075939,78.188522,VERIFIED,
TG-RR-FNR-BRG-0064,64,64,E. Yadagiri,Burgul,Farooqnagar,Rangareddy,Telangana,6.87,17.075802,78.180807,VERIFIED,
TG-RR-FNR-BRG-0065,65,65,N. Shankaraiah,Burgul,Farooqnagar,Rangareddy,Telangana,7.58,17.075771,78.183437,VERIFIED,
TG-RR-FNR-BRG-0066,66,66,P. Suseela,Burgul,Farooqnagar,Rangareddy,Telangana,4.64,17.075081,78.184707,VERIFIED,
TG-RR-FNR-BRG-0067,67,67,B. Vittal Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,1.67,17.075191,78.198852,VERIFIED,
TG-RR-FNR-BRG-0068,68,68,K. Padma,Burgul,Farooqnagar,Rangareddy,Telangana,3.64,17.075004,78.177011,VERIFIED,
TG-RR-FNR-BRG-0069,69,69,G. Lingaiah,Burgul,Farooqnagar,Rangareddy,Telangana,5.12,17.075293,78.175859,VERIFIED,
TG-RR-FNR-BRG-0070,70,70,M. Krishna Murthy,Burgul,Farooqnagar,Rangareddy,Telangana,6.85,17.075431,78.182149,VERIFIED,
TG-RR-FNR-BRG-0071,71,71,S. Venkat Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,3.3,17.075072,78.197888,VERIFIED,
TG-RR-FNR-BRG-0072,72,72,A. Jagadeeshwar,Burgul,Farooqnagar,Rangareddy,Telangana,2.25,17.075088,78.202275,VERIFIED,
TG-RR-FNR-BRG-0073,73,73,G. Srinivas Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,10.71,17.074484,78.204655,VERIFIED,
TG-RR-FNR-BRG-0074,74,74,K. Venkateshwar Rao,Burgul,Farooqnagar,Rangareddy,Telangana,5.19,17.07494,78.178167,VERIFIED,
TG-RR-FNR-BRG-0075,75,75,M. Lakshmi Bai,Burgul,Farooqnagar,Rangareddy,Telangana,5.49,17.074712,78.189618,VERIFIED,
TG-RR-FNR-BRG-0076,76,76,P. Anjaneyulu,Burgul,Farooqnagar,Rangareddy,Telangana,3.0,17.074956,78.194576,CONFLICT,Owner mismatch: Deed titleholder 'P. Anjaneyulu' vs Extracted 'M. Mallesh Goud'
TG-RR-FNR-BRG-0077,77,77,B. Satyanarayana,Burgul,Farooqnagar,Rangareddy,Telangana,3.41,17.074703,78.199137,VERIFIED,
TG-RR-FNR-BRG-0078,78,78,T. Ramaiah,Burgul,Farooqnagar,Rangareddy,Telangana,5.42,17.075008,78.191602,VERIFIED,
TG-RR-FNR-BRG-0079,79,79,Ch. Madhava Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,1.9,17.074601,78.201917,VERIFIED,
TG-RR-FNR-BRG-0080,80,80,V. Narsimha,Burgul,Farooqnagar,Rangareddy,Telangana,5.49,17.075,78.186397,VERIFIED,
TG-RR-FNR-BRG-0081,81,81,S. Kistamma,Burgul,Farooqnagar,Rangareddy,Telangana,5.48,17.074319,78.194157,VERIFIED,
TG-RR-FNR-BRG-0082,82,82,A. Balraj,Burgul,Farooqnagar,Rangareddy,Telangana,9.32,17.075146,78.17136,VERIFIED,
TG-RR-FNR-BRG-0083,83,83,M. Mallesh Goud,Burgul,Farooqnagar,Rangareddy,Telangana,3.5,17.07476,78.196785,VERIFIED,
TG-RR-FNR-BRG-0084,84,84,K. Chandraiah,Burgul,Farooqnagar,Rangareddy,Telangana,5.51,17.074377,78.180705,VERIFIED,
TG-RR-FNR-BRG-0085,85,85,J. Ramachandra Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,3.4,17.074468,78.182897,VERIFIED,
TG-RR-FNR-BRG-0086,86,86,D. Gopal Rao,Burgul,Farooqnagar,Rangareddy,Telangana,6.97,17.074,78.18863,VERIFIED,
TG-RR-FNR-BRG-0087,87,87,R. Prabhakar,Burgul,Farooqnagar,Rangareddy,Telangana,3.88,17.074012,78.197603,VERIFIED,
TG-RR-FNR-BRG-0088,88,88,E. Yadagiri,Burgul,Farooqnagar,Rangareddy,Telangana,3.94,17.074611,78.192947,CONFLICT,Area mismatch: Document states 4.26 Acres vs GIS 3.94 Acres (8.0% diff)
TG-RR-FNR-BRG-0089,89,89,N. Shankaraiah,Burgul,Farooqnagar,Rangareddy,Telangana,5.65,17.074223,78.195701,VERIFIED,
TG-RR-FNR-BRG-0090,90,90,P. Suseela,Burgul,Farooqnagar,Rangareddy,Telangana,8.82,17.073946,78.203171,VERIFIED,
TG-RR-FNR-BRG-0091,91,91,B. Vittal Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,11.28,17.073981,78.175606,VERIFIED,
TG-RR-FNR-BRG-0092,92,92,K. Padma,Burgul,Farooqnagar,Rangareddy,Telangana,6.3,17.07376,78.170488,VERIFIED,
TG-RR-FNR-BRG-0093,93,93,G. Lingaiah,Burgul,Farooqnagar,Rangareddy,Telangana,3.21,17.074356,78.190894,VERIFIED,
TG-RR-FNR-BRG-0094,94,94,M. Krishna Murthy,Burgul,Farooqnagar,Rangareddy,Telangana,5.78,17.073991,78.187741,VERIFIED,
TG-RR-FNR-BRG-0095,95,95,S. Venkat Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,7.01,17.07399,78.179244,VERIFIED,
TG-RR-FNR-BRG-0096,96,96,A. Jagadeeshwar,Burgul,Farooqnagar,Rangareddy,Telangana,8.49,17.073864,78.199594,VERIFIED,
TG-RR-FNR-BRG-0097,97,97,G. Srinivas Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,5.22,17.073976,78.185371,VERIFIED,
TG-RR-FNR-BRG-0098,98,98,K. Venkateshwar Rao,Burgul,Farooqnagar,Rangareddy,Telangana,8.8,17.073966,78.20114,VERIFIED,
TG-RR-FNR-BRG-0099,99,99,M. Lakshmi Bai,Burgul,Farooqnagar,Rangareddy,Telangana,1.95,17.074013,78.186544,REVIEW_REQUIRED,Low OCR confidence in handwritten Tippon annotation
TG-RR-FNR-BRG-0100,100,100,P. Anjaneyulu,Burgul,Farooqnagar,Rangareddy,Telangana,1.27,17.074123,78.192275,VERIFIED,
TG-RR-FNR-BRG-0101,101,101,B. Satyanarayana,Burgul,Farooqnagar,Rangareddy,Telangana,1.6,17.073594,78.192207,VERIFIED,
TG-RR-FNR-BRG-0102,102,102,T. Ramaiah,Burgul,Farooqnagar,Rangareddy,Telangana,7.65,17.073295,78.19028,VERIFIED,
TG-RR-FNR-BRG-0103,103,103,Ch. Madhava Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,2.2,17.073622,78.182808,VERIFIED,
TG-RR-FNR-BRG-0104,104,104,V. Narsimha,Burgul,Farooqnagar,Rangareddy,Telangana,6.94,17.073517,78.184098,VERIFIED,
TG-RR-FNR-BRG-0105,105,105,S. Kistamma,Burgul,Farooqnagar,Rangareddy,Telangana,3.39,17.073519,78.193312,VERIFIED,
TG-RR-FNR-BRG-0106,106,106,A. Balraj,Burgul,Farooqnagar,Rangareddy,Telangana,4.69,17.07308,78.187284,VERIFIED,
TG-RR-FNR-BRG-0107,107,107,M. Mallesh Goud,Burgul,Farooqnagar,Rangareddy,Telangana,2.48,17.073511,78.182042,VERIFIED,
TG-RR-FNR-BRG-0108,108,108,K. Chandraiah,Burgul,Farooqnagar,Rangareddy,Telangana,1.96,17.073611,78.181469,VERIFIED,
TG-RR-FNR-BRG-0109,109,109,J. Ramachandra Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,10.69,17.073754,78.172127,VERIFIED,
TG-RR-FNR-BRG-0110,110,110,D. Gopal Rao,Burgul,Farooqnagar,Rangareddy,Telangana,7.33,17.073432,78.177712,VERIFIED,
TG-RR-FNR-BRG-0111,111,111,R. Prabhakar,Burgul,Farooqnagar,Rangareddy,Telangana,8.81,17.072925,78.196082,VERIFIED,
TG-RR-FNR-BRG-0112,112,112,E. Yadagiri,Burgul,Farooqnagar,Rangareddy,Telangana,3.05,17.073064,78.191812,CONFLICT,Area mismatch: Document states 3.29 Acres vs GIS 3.05 Acres (8.0% diff)
TG-RR-FNR-BRG-0113,113,113,N. Shankaraiah,Burgul,Farooqnagar,Rangareddy,Telangana,2.85,17.073102,78.181012,VERIFIED,
TG-RR-FNR-BRG-0114,114,114,P. Suseela,Burgul,Farooqnagar,Rangareddy,Telangana,7.63,17.072835,78.169303,VERIFIED,
TG-RR-FNR-BRG-0115,115,115,B. Vittal Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,8.19,17.072595,78.186206,VERIFIED,
TG-RR-FNR-BRG-0116,116,116,K. Padma,Burgul,Farooqnagar,Rangareddy,Telangana,3.34,17.072749,78.182875,VERIFIED,
TG-RR-FNR-BRG-0117,117,117,G. Lingaiah,Burgul,Farooqnagar,Rangareddy,Telangana,12.91,17.073294,78.173874,VERIFIED,
TG-RR-FNR-BRG-0118,118,118,M. Krishna Murthy,Burgul,Farooqnagar,Rangareddy,Telangana,2.3,17.073095,78.197955,VERIFIED,
TG-RR-FNR-BRG-0119,119,119,S. Venkat Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,5.0,17.072814,78.194244,VERIFIED,
TG-RR-FNR-BRG-0120,120,120,A. Jagadeeshwar,Burgul,Farooqnagar,Rangareddy,Telangana,2.85,17.072807,78.180285,CONFLICT,Owner mismatch: Deed titleholder 'A. Jagadeeshwar' vs Extracted 'Ch. Madhava Reddy'
TG-RR-FNR-BRG-0121,121,121,G. Srinivas Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,5.81,17.072155,78.197046,VERIFIED,
TG-RR-FNR-BRG-0122,122,122,K. Venkateshwar Rao,Burgul,Farooqnagar,Rangareddy,Telangana,4.31,17.072644,78.198836,VERIFIED,
TG-RR-FNR-BRG-0123,123,123,M. Lakshmi Bai,Burgul,Farooqnagar,Rangareddy,Telangana,3.6,17.072346,78.192856,VERIFIED,
TG-RR-FNR-BRG-0124,124,124,P. Anjaneyulu,Burgul,Farooqnagar,Rangareddy,Telangana,3.72,17.072476,78.172327,REVIEW_REQUIRED,Low OCR confidence in handwritten Tippon annotation
TG-RR-FNR-BRG-0125,125,125,B. Satyanarayana,Burgul,Farooqnagar,Rangareddy,Telangana,2.74,17.072517,78.17972,VERIFIED,
TG-RR-FNR-BRG-0126,126,126,T. Ramaiah,Burgul,Farooqnagar,Rangareddy,Telangana,6.72,17.072123,78.191367,VERIFIED,
TG-RR-FNR-BRG-0127,127,127,Ch. Madhava Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,2.06,17.071907,78.19797,VERIFIED,
TG-RR-FNR-BRG-0128,128,128,V. Narsimha,Burgul,Farooqnagar,Rangareddy,Telangana,9.82,17.072394,78.202779,VERIFIED,
TG-RR-FNR-BRG-0129,129,129,S. Kistamma,Burgul,Farooqnagar,Rangareddy,Telangana,3.92,17.071969,78.181678,VERIFIED,
TG-RR-FNR-BRG-0130,130,130,A. Balraj,Burgul,Farooqnagar,Rangareddy,Telangana,19.53,17.071954,78.205714,VERIFIED,
TG-RR-FNR-BRG-0131,131,131,M. Mallesh Goud,Burgul,Farooqnagar,Rangareddy,Telangana,4.73,17.071886,78.177621,VERIFIED,
TG-RR-FNR-BRG-0132,132,132,K. Chandraiah,Burgul,Farooqnagar,Rangareddy,Telangana,8.41,17.072144,78.175968,VERIFIED,
TG-RR-FNR-BRG-0133,133,133,J. Ramachandra Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,5.56,17.071849,78.194091,VERIFIED,
TG-RR-FNR-BRG-0134,134,134,D. Gopal Rao,Burgul,Farooqnagar,Rangareddy,Telangana,1.75,17.071966,78.180869,CONFLICT,Area mismatch: Document states 1.89 Acres vs GIS 1.75 Acres (8.0% diff)
TG-RR-FNR-BRG-0135,135,135,R. Prabhakar,Burgul,Farooqnagar,Rangareddy,Telangana,4.4,17.071494,78.176882,VERIFIED,
TG-RR-FNR-BRG-0136,136,136,E. Yadagiri,Burgul,Farooqnagar,Rangareddy,Telangana,4.84,17.071784,78.18285,VERIFIED,
TG-RR-FNR-BRG-0137,137,137,N. Shankaraiah,Burgul,Farooqnagar,Rangareddy,Telangana,3.27,17.071979,78.179352,VERIFIED,
TG-RR-FNR-BRG-0138,138,138,P. Suseela,Burgul,Farooqnagar,Rangareddy,Telangana,4.94,17.071914,78.20147,VERIFIED,
TG-RR-FNR-BRG-0139,139,139,B. Vittal Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,6.12,17.072241,78.200434,VERIFIED,
TG-RR-FNR-BRG-0140,140,140,K. Padma,Burgul,Farooqnagar,Rangareddy,Telangana,5.05,17.071523,78.172468,REVIEW_REQUIRED,Low OCR confidence in handwritten Tippon annotation
TG-RR-FNR-BRG-0141,141,141,G. Lingaiah,Burgul,Farooqnagar,Rangareddy,Telangana,5.19,17.07168,78.178465,VERIFIED,
TG-RR-FNR-BRG-0142,142,142,M. Krishna Murthy,Burgul,Farooqnagar,Rangareddy,Telangana,4.94,17.072045,78.184211,VERIFIED,
TG-RR-FNR-BRG-0143,143,143,S. Venkat Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,8.0,17.070963,78.168149,VERIFIED,
TG-RR-FNR-BRG-0144,144,144,A. Jagadeeshwar,Burgul,Farooqnagar,Rangareddy,Telangana,7.58,17.071409,78.173979,VERIFIED,
TG-RR-FNR-BRG-0145,145,145,G. Srinivas Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,8.0,17.071657,78.170849,VERIFIED,
TG-RR-FNR-BRG-0146,146,146,K. Venkateshwar Rao,Burgul,Farooqnagar,Rangareddy,Telangana,3.45,17.07159,78.198984,VERIFIED,
TG-RR-FNR-BRG-0147,147,147,M. Lakshmi Bai,Burgul,Farooqnagar,Rangareddy,Telangana,2.11,17.071596,78.184823,VERIFIED,
TG-RR-FNR-BRG-0148,148,148,P. Anjaneyulu,Burgul,Farooqnagar,Rangareddy,Telangana,3.22,17.071252,78.180694,VERIFIED,
TG-RR-FNR-BRG-0149,149,149,B. Satyanarayana,Burgul,Farooqnagar,Rangareddy,Telangana,1.98,17.070905,78.184563,VERIFIED,
TG-RR-FNR-BRG-0150,150,150,T. Ramaiah,Burgul,Farooqnagar,Rangareddy,Telangana,15.08,17.071451,78.188539,VERIFIED,
TG-RR-FNR-BRG-0151,151,151,Ch. Madhava Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,11.16,17.07105,78.186305,VERIFIED,
TG-RR-FNR-BRG-0152,152,152,V. Narsimha,Burgul,Farooqnagar,Rangareddy,Telangana,10.46,17.071242,78.203793,VERIFIED,
TG-RR-FNR-BRG-0153,153,153,S. Kistamma,Burgul,Farooqnagar,Rangareddy,Telangana,4.32,17.071095,78.200003,VERIFIED,
TG-RR-FNR-BRG-0154,154,154,A. Balraj,Burgul,Farooqnagar,Rangareddy,Telangana,3.36,17.071295,78.169901,VERIFIED,
TG-RR-FNR-BRG-0155,155,155,M. Mallesh Goud,Burgul,Farooqnagar,Rangareddy,Telangana,4.44,17.070886,78.197807,VERIFIED,
TG-RR-FNR-BRG-0156,156,156,K. Chandraiah,Burgul,Farooqnagar,Rangareddy,Telangana,6.76,17.070942,78.190632,VERIFIED,
TG-RR-FNR-BRG-0157,157,157,J. Ramachandra Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,2.25,17.070492,78.199111,VERIFIED,
TG-RR-FNR-BRG-0158,158,158,D. Gopal Rao,Burgul,Farooqnagar,Rangareddy,Telangana,0.83,17.070494,78.198574,VERIFIED,
TG-RR-FNR-BRG-0159,159,159,R. Prabhakar,Burgul,Farooqnagar,Rangareddy,Telangana,6.62,17.070865,78.194061,VERIFIED,
TG-RR-FNR-BRG-0160,160,160,E. Yadagiri,Burgul,Farooqnagar,Rangareddy,Telangana,4.85,17.07062,78.169164,VERIFIED,
TG-RR-FNR-BRG-0161,161,161,N. Shankaraiah,Burgul,Farooqnagar,Rangareddy,Telangana,8.21,17.070659,78.192117,VERIFIED,
TG-RR-FNR-BRG-0162,162,162,P. Suseela,Burgul,Farooqnagar,Rangareddy,Telangana,3.84,17.070769,78.179289,VERIFIED,
TG-RR-FNR-BRG-0163,163,163,B. Vittal Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,3.9,17.070673,78.189614,VERIFIED,
TG-RR-FNR-BRG-0164,164,164,K. Padma,Burgul,Farooqnagar,Rangareddy,Telangana,5.8,17.070472,78.183489,VERIFIED,
TG-RR-FNR-BRG-0165,165,165,G. Lingaiah,Burgul,Farooqnagar,Rangareddy,Telangana,7.03,17.070594,78.174626,CONFLICT,Owner mismatch: Deed titleholder 'G. Lingaiah' vs Extracted 'P. Anjaneyulu'
TG-RR-FNR-BRG-0166,166,166,M. Krishna Murthy,Burgul,Farooqnagar,Rangareddy,Telangana,1.64,17.070483,78.180438,VERIFIED,
TG-RR-FNR-BRG-0167,167,167,S. Venkat Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,3.87,17.070131,78.181057,VERIFIED,
TG-RR-FNR-BRG-0168,168,168,A. Jagadeeshwar,Burgul,Farooqnagar,Rangareddy,Telangana,7.42,17.070584,78.195367,VERIFIED,
TG-RR-FNR-BRG-0169,169,169,G. Srinivas Reddy,Burgul,Farooqnagar,Rangareddy,Telangana,2.34,17.070323,78.200705,VERIFIED,
TG-RR-FNR-BRG-0170,170,170,K. Venkateshwar Rao,Burgul,Farooqnagar,Rangareddy,Telangana,5.53,17.070323,78.17185,VERIFIED,
TG-RR-FNR-BRG-0171,171,171,M. Lakshmi Bai,Burgul,Farooqnagar,Rangareddy,Telangana,4.55,17.069744,78.179813,VERIFIED,
