document_id,parcel_id,ocr_survey_number,ocr_owner_name,ocr_area_acres,ocr_village,ocr_confidence,extraction_status,validation_issue
DOC-BRG-0022,TG-RR-FNR-BRG-0022,22,M. Krishna Murthy,5.71,Burgul,0.92,COMPLETED,
DOC-BRG-0023,TG-RR-FNR-BRG-0023,23,S. Venkat Reddy,6.58,Burgul,0.96,COMPLETED,
DOC-BRG-0024,TG-RR-FNR-BRG-0024,24,A. Jagadeeshwar,6.18,Burgul,0.89,COMPLETED,
DOC-BRG-0025,TG-RR-FNR-BRG-0025,25,G. Srinivas Reddy,3.07,Burgul,0.89,COMPLETED,
DOC-BRG-0026,TG-RR-FNR-BRG-0026,26,K. Venkateshwar Rao,6.71,Burgul,0.97,COMPLETED,
DOC-BRG-0027,TG-RR-FNR-BRG-0027,27,M. Lakshmi Bai,9.05,Burgul,0.93,COMPLETED,
DOC-BRG-0028,TG-RR-FNR-BRG-0028,28,P. Anjaneyulu,3.48,Burgul,0.89,COMPLETED,
DOC-BRG-0029,TG-RR-FNR-BRG-0029,29,B. Satyanarayana,5.89,Burgul,0.97,COMPLETED,
DOC-BRG-0030,TG-RR-FNR-BRG-0030,30,T. Ramaiah,4.33,Burgul,0.93,COMPLETED,
DOC-BRG-0031,TG-RR-FNR-BRG-0031,31,Ch. Madhava Reddy,7.11,Burgul,0.88,COMPLETED,
DOC-BRG-0032,TG-RR-FNR-BRG-0032,32,R. Prabhakar,8.56,Burgul,0.44,NEEDS_REVIEW,Owner mismatch: Deed titleholder 'V. Narsimha' vs Extracted 'R. Prabhakar'
DOC-BRG-0033,TG-RR-FNR-BRG-0033,33,S. Kistamma,11.62,Burgul,0.99,COMPLETED,
DOC-BRG-0034,TG-RR-FNR-BRG-0034,34,A. Balraj,3.28,Burgul,0.9,COMPLETED,
DOC-BRG-0035,TG-RR-FNR-BRG-0035,35,M. Mallesh Goud,7.0,Burgul,0.96,COMPLETED,
DOC-BRG-0036,TG-RR-FNR-BRG-0036,36,K. Chandraiah,20.09,Burgul,0.89,COMPLETED,
DOC-BRG-0037,TG-RR-FNR-BRG-0037,37,J. Ramachandra Reddy,7.65,Burgul,0.95,COMPLETED,
DOC-BRG-0038,TG-RR-FNR-BRG-0038,38,D. Gopal Rao,4.73,Burgul,0.9,COMPLETED,
DOC-BRG-0039,TG-RR-FNR-BRG-0039,39,R. Prabhakar,2.18,Burgul,0.98,COMPLETED,
DOC-BRG-0040,TG-RR-FNR-BRG-0040,40,E. Yadagiri,9.1,Burgul,0.91,COMPLETED,
DOC-BRG-0041,TG-RR-FNR-BRG-0041,41,N. Shankaraiah,15.36,Burgul,0.95,COMPLETED,
DOC-BRG-0042,TG-RR-FNR-BRG-0042,42,P. Suseela,2.67,Burgul,0.91,COMPLETED,
DOC-BRG-0043,TG-RR-FNR-BRG-0043,43,B. Vittal Reddy,2.47,Burgul,0.92,COMPLETED,
DOC-BRG-0044,TG-RR-FNR-BRG-0044,44,K. Padma,2.34,Burgul,0.98,COMPLETED,
DOC-BRG-0045,TG-RR-FNR-BRG-0045,45,G. Lingaiah,14.2,Burgul,0.68,NEEDS_REVIEW,Area mismatch: Document states 14.2 Acres vs GIS 13.15 Acres (8.0% diff)
DOC-BRG-0046,TG-RR-FNR-BRG-0046,46,M. Krishna Murthy,9.09,Burgul,0.9,COMPLETED,
DOC-BRG-0047,TG-RR-FNR-BRG-0047,47,S. Venkat Reddy,4.12,Burgul,0.92,COMPLETED,
DOC-BRG-0048,TG-RR-FNR-BRG-0048,48,A. Jagadeeshwar,6.02,Burgul,0.91,COMPLETED,
DOC-BRG-0049,TG-RR-FNR-BRG-0049,49,G. Srinivas Reddy,6.79,Burgul,0.96,COMPLETED,
DOC-BRG-0050,TG-RR-FNR-BRG-0050,50,K. Venkateshwar Rao,6.19,Burgul,0.91,COMPLETED,
DOC-BRG-0051,TG-RR-FNR-BRG-0051,51,M. Lakshmi Bai,10.72,Burgul,0.95,COMPLETED,
DOC-BRG-0052,TG-RR-FNR-BRG-0052,52,P. Anjaneyulu,2.68,Burgul,0.96,COMPLETED,
DOC-BRG-0053,TG-RR-FNR-BRG-0053,53,B. Satyanarayana,4.31,Burgul,0.88,COMPLETED,
DOC-BRG-0054,TG-RR-FNR-BRG-0054,54,T. Ramaiah,11.42,Burgul,0.93,COMPLETED,
DOC-BRG-0055,TG-RR-FNR-BRG-0055,55,Ch. Madhava Reddy,8.85,Burgul,0.89,COMPLETED,
DOC-BRG-0056,TG-RR-FNR-BRG-0056,56,V. Narsimha,4.56,Burgul,0.9,COMPLETED,
DOC-BRG-0057,TG-RR-FNR-BRG-0057,57,S. Kistamma,5.32,Burgul,0.95,COMPLETED,
DOC-BRG-0058,TG-RR-FNR-BRG-0058,58,A. Balraj,1.64,Burgul,0.88,COMPLETED,
DOC-BRG-0059,TG-RR-FNR-BRG-0059,59,M. Mallesh Goud,5.88,Burgul,0.62,NEEDS_REVIEW,Low OCR confidence in handwritten Tippon annotation
DOC-BRG-0060,TG-RR-FNR-BRG-0060,60,K. Chandraiah,2.8,Burgul,0.96,COMPLETED,
DOC-BRG-0061,TG-RR-FNR-BRG-0061,61,J. Ramachandra Reddy,10.81,Burgul,0.97,COMPLETED,
DOC-BRG-0062,TG-RR-FNR-BRG-0062,62,D. Gopal Rao,2.41,Burgul,0.99,COMPLETED,
DOC-BRG-0063,TG-RR-FNR-BRG-0063,63,R. Prabhakar,8.04,Burgul,0.93,COMPLETED,
DOC-BRG-0064,TG-RR-FNR-BRG-0064,64,E. Yadagiri,6.87,Burgul,0.89,COMPLETED,
DOC-BRG-0065,TG-RR-FNR-BRG-0065,65,N. Shankaraiah,7.58,Burgul,0.89,COMPLETED,
DOC-BRG-0066,TG-RR-FNR-BRG-0066,66,P. Suseela,4.64,Burgul,0.92,COMPLETED,
DOC-BRG-0067,TG-RR-FNR-BRG-0067,67,B. Vittal Reddy,1.67,Burgul,0.96,COMPLETED,
DOC-BRG-0068,TG-RR-FNR-BRG-0068,68,K. Padma,3.64,Burgul,0.89,COMPLETED,
DOC-BRG-0069,TG-RR-FNR-BRG-0069,69,G. Lingaiah,5.12,Burgul,0.91,COMPLETED,
DOC-BRG-0070,TG-RR-FNR-BRG-0070,70,M. Krishna Murthy,6.85,Burgul,0.98,COMPLETED,
DOC-BRG-0071,TG-RR-FNR-BRG-0071,71,S. Venkat Reddy,3.3,Burgul,0.9,COMPLETED,
DOC-BRG-0072,TG-RR-FNR-BRG-0072,72,A. Jagadeeshwar,2.25,Burgul,0.97,COMPLETED,
DOC-BRG-0073,TG-RR-FNR-BRG-0073,73,G. Srinivas Reddy,10.71,Burgul,0.96,COMPLETED,
DOC-BRG-0074,TG-RR-FNR-BRG-0074,74,K. Venkateshwar Rao,5.19,Burgul,0.89,COMPLETED,
DOC-BRG-0075,TG-RR-FNR-BRG-0075,75,M. Lakshmi Bai,5.49,Burgul,0.99,COMPLETED,
DOC-BRG-0076,TG-RR-FNR-BRG-0076,76,M. Mallesh Goud,3.0,Burgul,0.44,NEEDS_REVIEW,Owner mismatch: Deed titleholder 'P. Anjaneyulu' vs Extracted 'M. Mallesh Goud'
DOC-BRG-0077,TG-RR-FNR-BRG-0077,77,B. Satyanarayana,3.41,Burgul,0.9,COMPLETED,
DOC-BRG-0078,TG-RR-FNR-BRG-0078,78,T. Ramaiah,5.42,Burgul,0.94,COMPLETED,
DOC-BRG-0079,TG-RR-FNR-BRG-0079,79,Ch. Madhava Reddy,1.9,Burgul,0.88,COMPLETED,
DOC-BRG-0080,TG-RR-FNR-BRG-0080,80,V. Narsimha,5.49,Burgul,0.95,COMPLETED,
DOC-BRG-0081,TG-RR-FNR-BRG-0081,81,S. Kistamma,5.48,Burgul,0.93,COMPLETED,
DOC-BRG-0082,TG-RR-FNR-BRG-0082,82,A. Balraj,9.32,Burgul,0.96,COMPLETED,
DOC-BRG-0083,TG-RR-FNR-BRG-0083,83,M. Mallesh Goud,3.5,Burgul,0.95,COMPLETED,
DOC-BRG-0084,TG-RR-FNR-BRG-0084,84,K. Chandraiah,5.51,Burgul,0.9,COMPLETED,
DOC-BRG-0085,TG-RR-FNR-BRG-0085,85,J. Ramachandra Reddy,3.4,Burgul,0.93,COMPLETED,
DOC-BRG-0086,TG-RR-FNR-BRG-0086,86,D. Gopal Rao,6.97,Burgul,0.96,COMPLETED,
DOC-BRG-0087,TG-RR-FNR-BRG-0087,87,R. Prabhakar,3.88,Burgul,0.97,COMPLETED,
DOC-BRG-0088,TG-RR-FNR-BRG-0088,88,E. Yadagiri,4.26,Burgul,0.68,NEEDS_REVIEW,Area mismatch: Document states 4.26 Acres vs GIS 3.94 Acres (8.0% diff)
DOC-BRG-0089,TG-RR-FNR-BRG-0089,89,N. Shankaraiah,5.65,Burgul,0.89,COMPLETED,
DOC-BRG-0090,TG-RR-FNR-BRG-0090,90,P. Suseela,8.82,Burgul,0.89,COMPLETED,
DOC-BRG-0091,TG-RR-FNR-BRG-0091,91,B. Vittal Reddy,11.28,Burgul,0.96,COMPLETED,
DOC-BRG-0092,TG-RR-FNR-BRG-0092,92,K. Padma,6.3,Burgul,0.94,COMPLETED,
DOC-BRG-0093,TG-RR-FNR-BRG-0093,93,G. Lingaiah,3.21,Burgul,0.92,COMPLETED,
DOC-BRG-0094,TG-RR-FNR-BRG-0094,94,M. Krishna Murthy,5.78,Burgul,0.99,COMPLETED,
DOC-BRG-0095,TG-RR-FNR-BRG-0095,95,S. Venkat Reddy,7.01,Burgul,0.91,COMPLETED,
DOC-BRG-0096,TG-RR-FNR-BRG-0096,96,A. Jagadeeshwar,8.49,Burgul,0.9,COMPLETED,
DOC-BRG-0097,TG-RR-FNR-BRG-0097,97,G. Srinivas Reddy,5.22,Burgul,0.91,COMPLETED,
DOC-BRG-0098,TG-RR-FNR-BRG-0098,98,K. Venkateshwar Rao,8.8,Burgul,0.89,COMPLETED,
DOC-BRG-0099,TG-RR-FNR-BRG-0099,99,M. Lakshmi Bai,1.95,Burgul,0.62,NEEDS_REVIEW,Low OCR confidence in handwritten Tippon annotation
DOC-BRG-0100,TG-RR-FNR-BRG-0100,100,P. Anjaneyulu,1.27,Burgul,0.94,COMPLETED,
DOC-BRG-0101,TG-RR-FNR-BRG-0101,101,B. Satyanarayana,1.6,Burgul,0.95,COMPLETED,
DOC-BRG-0102,TG-RR-FNR-BRG-0102,102,T. Ramaiah,7.65,Burgul,0.95,COMPLETED,
DOC-BRG-0103,TG-RR-FNR-BRG-0103,103,Ch. Madhava Reddy,2.2,Burgul,0.97,COMPLETED,
DOC-BRG-0104,TG-RR-FNR-BRG-0104,104,V. Narsimha,6.94,Burgul,0.96,COMPLETED,
DOC-BRG-0105,TG-RR-FNR-BRG-0105,105,S. Kistamma,3.39,Burgul,0.97,COMPLETED,
DOC-BRG-0106,TG-RR-FNR-BRG-0106,106,A. Balraj,4.69,Burgul,0.95,COMPLETED,
DOC-BRG-0107,TG-RR-FNR-BRG-0107,107,M. Mallesh Goud,2.48,Burgul,0.91,COMPLETED,
DOC-BRG-0108,TG-RR-FNR-BRG-0108,108,K. Chandraiah,1.96,Burgul,0.94,COMPLETED,
DOC-BRG-0109,TG-RR-FNR-BRG-0109,109,J. Ramachandra Reddy,10.69,Burgul,0.94,COMPLETED,
DOC-BRG-0110,TG-RR-FNR-BRG-0110,110,D. Gopal Rao,7.33,Burgul,0.96,COMPLETED,
DOC-BRG-0111,TG-RR-FNR-BRG-0111,111,R. Prabhakar,8.81,Burgul,0.91,COMPLETED,
DOC-BRG-0112,TG-RR-FNR-BRG-0112,112,E. Yadagiri,3.29,Burgul,0.68,NEEDS_REVIEW,Area mismatch: Document states 3.29 Acres vs GIS 3.05 Acres (8.0% diff)
DOC-BRG-0113,TG-RR-FNR-BRG-0113,113,N. Shankaraiah,2.85,Burgul,0.89,COMPLETED,
DOC-BRG-0114,TG-RR-FNR-BRG-0114,114,P. Suseela,7.63,Burgul,0.98,COMPLETED,
DOC-BRG-0115,TG-RR-FNR-BRG-0115,115,B. Vittal Reddy,8.19,Burgul,0.99,COMPLETED,
DOC-BRG-0116,TG-RR-FNR-BRG-0116,116,K. Padma,3.34,Burgul,0.93,COMPLETED,
DOC-BRG-0117,TG-RR-FNR-BRG-0117,117,G. Lingaiah,12.91,Burgul,0.89,COMPLETED,
DOC-BRG-0118,TG-RR-FNR-BRG-0118,118,M. Krishna Murthy,2.3,Burgul,0.93,COMPLETED,
DOC-BRG-0119,TG-RR-FNR-BRG-0119,119,S. Venkat Reddy,5.0,Burgul,0.95,COMPLETED,
DOC-BRG-0120,TG-RR-FNR-BRG-0120,120,Ch. Madhava Reddy,2.85,Burgul,0.44,NEEDS_REVIEW,Owner mismatch: Deed titleholder 'A. Jagadeeshwar' vs Extracted 'Ch. Madhava Reddy'
DOC-BRG-0121,TG-RR-FNR-BRG-0121,121,G. Srinivas Reddy,5.81,Burgul,0.94,COMPLETED,
DOC-BRG-0122,TG-RR-FNR-BRG-0122,122,K. Venkateshwar Rao,4.31,Burgul,0.99,COMPLETED,
DOC-BRG-0123,TG-RR-FNR-BRG-0123,123,M. Lakshmi Bai,3.6,Burgul,0.99,COMPLETED,
DOC-BRG-0124,TG-RR-FNR-BRG-0124,124,P. Anjaneyulu,3.72,Burgul,0.62,NEEDS_REVIEW,Low OCR confidence in handwritten Tippon annotation
DOC-BRG-0125,TG-RR-FNR-BRG-0125,125,B. Satyanarayana,2.74,Burgul,0.98,COMPLETED,
DOC-BRG-0126,TG-RR-FNR-BRG-0126,126,T. Ramaiah,6.72,Burgul,0.89,COMPLETED,
DOC-BRG-0127,TG-RR-FNR-BRG-0127,127,Ch. Madhava Reddy,2.06,Burgul,0.97,COMPLETED,
DOC-BRG-0128,TG-RR-FNR-BRG-0128,128,V. Narsimha,9.82,Burgul,0.94,COMPLETED,
DOC-BRG-0129,TG-RR-FNR-BRG-0129,129,S. Kistamma,3.92,Burgul,0.92,COMPLETED,
DOC-BRG-0130,TG-RR-FNR-BRG-0130,130,A. Balraj,19.53,Burgul,0.96,COMPLETED,
DOC-BRG-0131,TG-RR-FNR-BRG-0131,131,M. Mallesh Goud,4.73,Burgul,0.96,COMPLETED,
DOC-BRG-0132,TG-RR-FNR-BRG-0132,132,K. Chandraiah,8.41,Burgul,0.98,COMPLETED,
DOC-BRG-0133,TG-RR-FNR-BRG-0133,133,J. Ramachandra Reddy,5.56,Burgul,0.96,COMPLETED,
DOC-BRG-0134,TG-RR-FNR-BRG-0134,134,D. Gopal Rao,1.89,Burgul,0.68,NEEDS_REVIEW,Area mismatch: Document states 1.89 Acres vs GIS 1.75 Acres (8.0% diff)
DOC-BRG-0135,TG-RR-FNR-BRG-0135,135,R. Prabhakar,4.4,Burgul,0.88,COMPLETED,
DOC-BRG-0136,TG-RR-FNR-BRG-0136,136,E. Yadagiri,4.84,Burgul,0.89,COMPLETED,
DOC-BRG-0137,TG-RR-FNR-BRG-0137,137,N. Shankaraiah,3.27,Burgul,0.91,COMPLETED,
DOC-BRG-0138,TG-RR-FNR-BRG-0138,138,P. Suseela,4.94,Burgul,0.88,COMPLETED,
DOC-BRG-0139,TG-RR-FNR-BRG-0139,139,B. Vittal Reddy,6.12,Burgul,0.89,COMPLETED,
DOC-BRG-0140,TG-RR-FNR-BRG-0140,140,K. Padma,5.05,Burgul,0.62,NEEDS_REVIEW,Low OCR confidence in handwritten Tippon annotation
DOC-BRG-0141,TG-RR-FNR-BRG-0141,141,G. Lingaiah,5.19,Burgul,0.97,COMPLETED,
DOC-BRG-0142,TG-RR-FNR-BRG-0142,142,M. Krishna Murthy,4.94,Burgul,0.94,COMPLETED,
DOC-BRG-0143,TG-RR-FNR-BRG-0143,143,S. Venkat Reddy,8.0,Burgul,0.95,COMPLETED,
DOC-BRG-0144,TG-RR-FNR-BRG-0144,144,A. Jagadeeshwar,7.58,Burgul,0.94,COMPLETED,
DOC-BRG-0145,TG-RR-FNR-BRG-0145,145,G. Srinivas Reddy,8.0,Burgul,0.93,COMPLETED,
DOC-BRG-0146,TG-RR-FNR-BRG-0146,146,K. Venkateshwar Rao,3.45,Burgul,0.96,COMPLETED,
DOC-BRG-0147,TG-RR-FNR-BRG-0147,147,M. Lakshmi Bai,2.11,Burgul,0.89,COMPLETED,
DOC-BRG-0148,TG-RR-FNR-BRG-0148,148,P. Anjaneyulu,3.22,Burgul,0.94,COMPLETED,
DOC-BRG-0149,TG-RR-FNR-BRG-0149,149,B. Satyanarayana,1.98,Burgul,0.95,COMPLETED,
DOC-BRG-0150,TG-RR-FNR-BRG-0150,150,T. Ramaiah,15.08,Burgul,0.91,COMPLETED,
DOC-BRG-0151,TG-RR-FNR-BRG-0151,151,Ch. Madhava Reddy,11.16,Burgul,0.91,COMPLETED,
DOC-BRG-0152,TG-RR-FNR-BRG-0152,152,V. Narsimha,10.46,Burgul,0.94,COMPLETED,
DOC-BRG-0153,TG-RR-FNR-BRG-0153,153,S. Kistamma,4.32,Burgul,0.9,COMPLETED,
DOC-BRG-0154,TG-RR-FNR-BRG-0154,154,A. Balraj,3.36,Burgul,0.97,COMPLETED,
DOC-BRG-0155,TG-RR-FNR-BRG-0155,155,M. Mallesh Goud,4.44,Burgul,0.94,COMPLETED,
DOC-BRG-0156,TG-RR-FNR-BRG-0156,156,K. Chandraiah,6.76,Burgul,0.92,COMPLETED,
DOC-BRG-0157,TG-RR-FNR-BRG-0157,157,J. Ramachandra Reddy,2.25,Burgul,0.95,COMPLETED,
DOC-BRG-0158,TG-RR-FNR-BRG-0158,158,D. Gopal Rao,0.83,Burgul,0.97,COMPLETED,
DOC-BRG-0159,TG-RR-FNR-BRG-0159,159,R. Prabhakar,6.62,Burgul,0.95,COMPLETED,
DOC-BRG-0160,TG-RR-FNR-BRG-0160,160,E. Yadagiri,4.85,Burgul,0.89,COMPLETED,
DOC-BRG-0161,TG-RR-FNR-BRG-0161,161,N. Shankaraiah,8.21,Burgul,0.96,COMPLETED,
DOC-BRG-0162,TG-RR-FNR-BRG-0162,162,P. Suseela,3.84,Burgul,0.96,COMPLETED,
DOC-BRG-0163,TG-RR-FNR-BRG-0163,163,B. Vittal Reddy,3.9,Burgul,0.97,COMPLETED,
DOC-BRG-0164,TG-RR-FNR-BRG-0164,164,K. Padma,5.8,Burgul,0.89,COMPLETED,
DOC-BRG-0165,TG-RR-FNR-BRG-0165,165,P. Anjaneyulu,7.03,Burgul,0.44,NEEDS_REVIEW,Owner mismatch: Deed titleholder 'G. Lingaiah' vs Extracted 'P. Anjaneyulu'
DOC-BRG-0166,TG-RR-FNR-BRG-0166,166,M. Krishna Murthy,1.64,Burgul,0.89,COMPLETED,
DOC-BRG-0167,TG-RR-FNR-BRG-0167,167,S. Venkat Reddy,3.87,Burgul,0.93,COMPLETED,
DOC-BRG-0168,TG-RR-FNR-BRG-0168,168,A. Jagadeeshwar,7.42,Burgul,0.93,COMPLETED,
DOC-BRG-0169,TG-RR-FNR-BRG-0169,169,G. Srinivas Reddy,2.34,Burgul,0.95,COMPLETED,
DOC-BRG-0170,TG-RR-FNR-BRG-0170,170,K. Venkateshwar Rao,5.53,Burgul,0.91,COMPLETED,
DOC-BRG-0171,TG-RR-FNR-BRG-0171,171,M. Lakshmi Bai,4.55,Burgul,0.96,COMPLETED,
DOC-BRG-0172,TG-RR-FNR-BRG-0172,172,P. Anjaneyulu,5.7,Burgul,0.96,COMPLETED,
DOC-BRG-0173,TG-RR-FNR-BRG-0173,173,B. Satyanarayana,5.36,Burgul,0.89,COMPLETED,
DOC-BRG-0174,TG-RR-FNR-BRG-0174,174,T. Ramaiah,7.83,Burgul,0.96,COMPLETED,
DOC-BRG-0175,TG-RR-FNR-BRG-0175,175,Ch. Madhava Reddy,8.09,Burgul,0.96,COMPLETED,
DOC-BRG-0176,TG-RR-FNR-BRG-0176,176,V. Narsimha,3.16,Burgul,0.9,COMPLETED,
DOC-BRG-0177,TG-RR-FNR-BRG-0177,177,S. Kistamma,6.92,Burgul,0.98,COMPLETED,
DOC-BRG-0178,TG-RR-FNR-BRG-0178,178,A. Balraj,4.83,Burgul,0.68,NEEDS_REVIEW,Area mismatch: Document states 4.83 Acres vs GIS 4.47 Acres (8.0% diff)
DOC-BRG-0179,TG-RR-FNR-BRG-0179,179,M. Mallesh Goud,2.79,Burgul,0.94,COMPLETED,
DOC-BRG-0180,TG-RR-FNR-BRG-0180,180,K. Chandraiah,6.97,Burgul,0.97,COMPLETED,
DOC-BRG-0181,TG-RR-FNR-BRG-0181,181,J. Ramachandra Reddy,3.73,Burgul,0.96,COMPLETED,
DOC-BRG-0182,TG-RR-FNR-BRG-0182,182,D. Gopal Rao,4.01,Burgul,0.9,COMPLETED,
DOC-BRG-0183,TG-RR-FNR-BRG-0183,183,R. Prabhakar,5.65,Burgul,0.89,COMPLETED,
DOC-BRG-0184,TG-RR-FNR-BRG-0184,184,E. Yadagiri,7.29,Burgul,0.97,COMPLETED,
DOC-BRG-0185,TG-RR-FNR-BRG-0185,185,N. Shankaraiah,5.63,Burgul,0.62,NEEDS_REVIEW,Low OCR confidence in handwritten Tippon annotation
DOC-BRG-0186,TG-RR-FNR-BRG-0186,186,P. Suseela,1.85,Burgul,0.91,COMPLETED,
DOC-BRG-0187,TG-RR-FNR-BRG-0187,187,B. Vittal Reddy,4.71,Burgul,0.98,COMPLETED,
DOC-BRG-0188,TG-RR-FNR-BRG-0188,188,K. Padma,1.89,Burgul,0.96,COMPLETED,
DOC-BRG-0189,TG-RR-FNR-BRG-0189,189,G. Lingaiah,4.63,Burgul,0.88,COMPLETED,
DOC-BRG-0190,TG-RR-FNR-BRG-0190,190,M. Krishna Murthy,2.66,Burgul,0.97,COMPLETED,
DOC-BRG-0191,TG-RR-FNR-BRG-0191,191,S. Venkat Reddy,4.52,Burgul,0.91,COMPLETED,
DOC-BRG-0192,TG-RR-FNR-BRG-0192,192,A. Jagadeeshwar,4.75,Burgul,0.89,COMPLETED,
DOC-BRG-0193,TG-RR-FNR-BRG-0193,193,G. Srinivas Reddy,1.25,Burgul,0.96,COMPLETED,
DOC-BRG-0194,TG-RR-FNR-BRG-0194,194,K. Venkateshwar Rao,8.66,Burgul,0.94,COMPLETED,
DOC-BRG-0195,TG-RR-FNR-BRG-0195,195,M. Lakshmi Bai,8.04,Burgul,0.89,COMPLETED,
DOC-BRG-0196,TG-RR-FNR-BRG-0196,196,P. Anjaneyulu,5.87,Burgul,0.93,COMPLETED,
DOC-BRG-0197,TG-RR-FNR-BRG-0197,197,K. Chandraiah,3.64,Burgul,0.44,NEEDS_REVIEW,Owner mismatch: Deed titleholder 'B. Satyanarayana' vs Extracted 'K. Chandraiah'
DOC-BRG-0198,TG-RR-FNR-BRG-0198,198,T. Ramaiah,4.93,Burgul,0.92,COMPLETED,
DOC-BRG-0199,TG-RR-FNR-BRG-0199,199,Ch. Madhava Reddy,6.62,Burgul,0.93,COMPLETED,
DOC-BRG-0200,TG-RR-FNR-BRG-0200,200,V. Narsimha,5.13,Burgul,0.94,COMPLETED,
DOC-BRG-0201,TG-RR-FNR-BRG-0201,201,S. Kistamma,4.68,Burgul,0.92,COMPLETED,
DOC-BRG-0202,TG-RR-FNR-BRG-0202,202,A. Balraj,2.57,Burgul,0.91,COMPLETED,
DOC-BRG-0203,TG-RR-FNR-BRG-0203,203,M. Mallesh Goud,13.23,Burgul,0.89,COMPLETED,
DOC-BRG-0204,TG-RR-FNR-BRG-0204,204,B. Vittal Reddy,11.66,Burgul,0.44,NEEDS_REVIEW,Owner mismatch: Deed titleholder 'K. Chandraiah' vs Extracted 'B. Vittal Reddy'
DOC-BRG-0205,TG-RR-FNR-BRG-0205,205,J. Ramachandra Reddy,4.16,Burgul,0.94,COMPLETED,
DOC-BRG-0206,TG-RR-FNR-BRG-0206,206,D. Gopal Rao,1.92,Burgul,0.96,COMPLETED,
DOC-BRG-0207,TG-RR-FNR-BRG-0207,207,R. Prabhakar,7.05,Burgul,0.91,COMPLETED,
DOC-BRG-0208,TG-RR-FNR-BRG-0208,208,E. Yadagiri,3.81,Burgul,0.94,COMPLETED,
DOC-BRG-0209,TG-RR-FNR-BRG-0209,209,N. Shankaraiah,3.34,Burgul,0.88,COMPLETED,
DOC-BRG-0210,TG-RR-FNR-BRG-0210,210,P. Suseela,5.87,Burgul,0.97,COMPLETED,
DOC-BRG-0211,TG-RR-FNR-BRG-0211,211,B. Vittal Reddy,9.97,Burgul,0.91,COMPLETED,
DOC-BRG-0212,TG-RR-FNR-BRG-0212,212,K. Padma,4.51,Burgul,0.93,COMPLETED,
DOC-BRG-0213,TG-RR-FNR-BRG-0213,213,G. Lingaiah,5.1,Burgul,0.92,COMPLETED,
DOC-BRG-0214,TG-RR-FNR-BRG-0214,214,M. Krishna Murthy,3.62,Burgul,0.9,COMPLETED,
DOC-BRG-0215,TG-RR-FNR-BRG-0215,215,S. Venkat Reddy,8.05,Burgul,0.68,NEEDS_REVIEW,Area mismatch: Document states 8.05 Acres vs GIS 7.45 Acres (8.0% diff)
