parcel_id,survey_number,survey_display,sub_division,khata_number,owner_name,co_owner_name,village,mandal,district,state,land_classification,ownership_type,area_acres,area_sq_meters,mutation_status,registration_status,document_reference,confidence_score,verification_status,validation_issue,created_at,updated_at,centroid_lat,centroid_lon
P0017,117,117,,KH00017,Synthetic Owner 017,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2205,57548.37,Updated,Registered,DOC-00017,0.957,Verified,,2025-01-01,2025-06-01,14.651,77.5896
P0018,118,118,,KH00018,Synthetic Owner 018,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2205,57548.37,Updated,Registered,DOC-00018,0.966,Verified,,2025-01-01,2025-06-01,14.651,77.592
P0019,119,119,,KH00019,Synthetic Owner 019,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2205,57548.37,Updated,Registered,DOC-00019,0.648,Review Required,Low OCR confidence,2025-01-01,2025-06-01,14.651,77.5944
P0020,120,120,,KH00020,Synthetic Owner 020,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2205,57548.37,Updated,Registered,DOC-00020,0.984,Verified,,2025-01-01,2025-06-01,14.651,77.5968
P0021,121,121/1,1,KH00021,Synthetic Owner 021,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2205,57548.37,Updated,Registered,DOC-00021,0.93,Verified,,2025-01-01,2025-06-01,14.651,77.5992
P0022,122,122,,KH00022,Synthetic Owner 022,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2205,57548.37,Updated,Registered,DOC-00022,0.939,Verified,,2025-01-01,2025-06-01,14.651,77.6016
P0023,123,123,,KH00023,Synthetic Owner 023,Synthetic Owner 523,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Joint,14.2205,57548.37,Updated,Registered,DOC-00023,0.948,Verified,,2025-01-01,2025-06-01,14.651,77.604
P0024,124,124,,KH00024,Synthetic Owner 024,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2205,57548.37,Updated,Registered,DOC-00024,0.708,Conflict,Survey number uncertainty,2025-01-01,2025-06-01,14.651,77.6064
P0025,125,125,,KH00025,Synthetic Owner 025,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2205,57548.37,Updated,Registered,DOC-00025,0.966,Verified,,2025-01-01,2025-06-01,14.651,77.6088
P0026,126,126/3,3,KH00026,Synthetic Owner 026,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2204,57547.97,Updated,Registered,DOC-00026,0.432,Review Required,Low OCR confidence,2025-01-01,2025-06-01,14.653,77.5512
P0027,127,127,,KH00027,Synthetic Owner 027,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2204,57547.97,Updated,Registered,DOC-00027,0.444,Conflict,Survey number uncertainty,2025-01-01,2025-06-01,14.653,77.5536
P0028,128,128,,KH00028,Synthetic Owner 028,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2204,57547.97,Updated,Registered,DOC-00028,0.93,Verified,,2025-01-01,2025-06-01,14.653,77.556
P0029,129,129,,KH00029,Synthetic Owner 029,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2204,57547.97,Updated,Registered,DOC-00029,0.939,Verified,,2025-01-01,2025-06-01,14.653,77.5584
P0030,130,130,,KH00030,Synthetic Owner 030,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2204,57547.97,Updated,Registered,DOC-00030,0.48,Conflict,Survey number uncertainty,2025-01-01,2025-06-01,14.653,77.5608
P0031,131,131/2,2,KH00031,Synthetic Owner 031,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2204,57547.97,Updated,Registered,DOC-00031,0.957,Verified,,2025-01-01,2025-06-01,14.653,77.5632
P0032,132,132,,KH00032,Synthetic Owner 032,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2204,57547.97,Updated,Registered,DOC-00032,0.966,Verified,,2025-01-01,2025-06-01,14.653,77.5656
P0033,133,133,,KH00033,Synthetic Owner 033,Synthetic Owner 533,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Joint,14.2204,57547.97,Updated,Registered,DOC-00033,0.975,Verified,,2025-01-01,2025-06-01,14.653,77.568
P0034,134,134,,KH00034,Synthetic Owner 034,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2204,57547.97,Updated,Registered,DOC-00034,0.528,Conflict,Area mismatch,2025-01-01,2025-06-01,14.653,77.5704
P0035,135,135,,KH00035,Synthetic Owner 035,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2204,57547.97,Updated,Registered,DOC-00035,0.93,Verified,,2025-01-01,2025-06-01,14.653,77.5728
P0036,136,136/1,1,KH00036,Synthetic Owner 036,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2204,57547.97,Updated,Registered,DOC-00036,0.939,Verified,,2025-01-01,2025-06-01,14.653,77.5752
P0037,137,137,,KH00037,Synthetic Owner 037,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2204,57547.97,Updated,Registered,DOC-00037,0.948,Verified,,2025-01-01,2025-06-01,14.653,77.5776
P0038,138,138,,KH00038,Synthetic Owner 038,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2204,57547.97,Updated,Registered,DOC-00038,0.576,Review Required,Low OCR confidence,2025-01-01,2025-06-01,14.653,77.58
P0039,139,139,,KH00039,Synthetic Owner 039,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2204,57547.97,Updated,Registered,DOC-00039,0.966,Verified,,2025-01-01,2025-06-01,14.653,77.5824
P0040,140,140,,KH00040,Synthetic Owner 040,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2204,57547.97,Updated,Registered,DOC-00040,0.975,Verified,,2025-01-01,2025-06-01,14.653,77.5848
P0041,141,141/3,3,KH00041,Synthetic Owner 041,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2204,57547.97,Updated,Registered,DOC-00041,0.984,Verified,,2025-01-01,2025-06-01,14.653,77.5872
P0042,142,142,,KH00042,Synthetic Owner 042,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2204,57547.97,Pending,Registered,DOC-00042,0.844,Review Required,Missing mutation information,2025-01-01,2025-06-01,14.653,77.5896
P0043,143,143,,KH00043,Synthetic Owner 043,Synthetic Owner 543,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Joint,14.2204,57547.97,Updated,Registered,DOC-00043,0.939,Verified,,2025-01-01,2025-06-01,14.653,77.592
P0044,144,144,,KH00044,Synthetic Owner 044,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2204,57547.97,Updated,Registered,DOC-00044,0.948,Verified,,2025-01-01,2025-06-01,14.653,77.5944
P0045,145,145,,KH00045,Synthetic Owner 045,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2204,57547.97,Updated,Registered,DOC-00045,0.957,Verified,,2025-01-01,2025-06-01,14.653,77.5968
P0046,146,146/2,2,KH00046,Synthetic Owner 046,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2204,57547.97,Updated,Registered,DOC-00046,0.966,Verified,,2025-01-01,2025-06-01,14.653,77.5992
P0047,147,147,,KH00047,Synthetic Owner 047,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2204,57547.97,Updated,Registered,DOC-00047,0.975,Verified,,2025-01-01,2025-06-01,14.653,77.6016
P0048,148,148,,KH00048,Synthetic Owner 048,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2204,57547.97,Updated,Registered,DOC-00048,0.984,Verified,,2025-01-01,2025-06-01,14.653,77.604
P0049,149,149,,KH00049,Synthetic Owner 049,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2204,57547.97,Updated,Registered,DOC-00049,0.93,Verified,,2025-01-01,2025-06-01,14.653,77.6064
P0050,150,150,,KH00050,Synthetic Owner 050,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2204,57547.97,Updated,Registered,DOC-00050,0.939,Verified,,2025-01-01,2025-06-01,14.653,77.6088
P0051,151,151/1,1,KH00051,Synthetic Owner 051,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2202,57547.16,Updated,Registered,DOC-00051,0.432,Conflict,Area mismatch,2025-01-01,2025-06-01,14.655,77.5512
P0052,152,152,,KH00052,Synthetic Owner 052,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2202,57547.16,Updated,Registered,DOC-00052,0.957,Verified,,2025-01-01,2025-06-01,14.655,77.5536
P0053,153,153,,KH00053,Synthetic Owner 053,Synthetic Owner 553,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Joint,14.2202,57547.16,Updated,Registered,DOC-00053,0.966,Verified,,2025-01-01,2025-06-01,14.655,77.556
P0054,154,154,,KH00054,Synthetic Owner 054,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2202,57547.16,Updated,Registered,DOC-00054,0.468,Conflict,Survey number uncertainty,2025-01-01,2025-06-01,14.655,77.5584
P0055,155,155,,KH00055,Synthetic Owner 055,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2202,57547.16,Updated,Registered,DOC-00055,0.984,Verified,,2025-01-01,2025-06-01,14.655,77.5608
P0056,156,156/3,3,KH00056,Synthetic Owner 056,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2202,57547.16,Updated,Registered,DOC-00056,0.93,Verified,,2025-01-01,2025-06-01,14.655,77.5632
P0057,157,157,,KH00057,Synthetic Owner 057,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2202,57547.16,Updated,Registered,DOC-00057,0.939,Verified,,2025-01-01,2025-06-01,14.655,77.5656
P0058,158,158,,KH00058,Synthetic Owner 058,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2202,57547.16,Updated,Registered,DOC-00058,0.948,Verified,,2025-01-01,2025-06-01,14.655,77.568
P0059,159,159,,KH00059,Synthetic Owner 059,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2202,57547.16,Updated,Registered,DOC-00059,0.957,Verified,,2025-01-01,2025-06-01,14.655,77.5704
P0060,160,160,,KH00060,Synthetic Owner 060,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2202,57547.16,Updated,Registered,DOC-00060,0.966,Verified,,2025-01-01,2025-06-01,14.655,77.5728
P0061,161,161/2,2,KH00061,Synthetic Owner 061,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2202,57547.16,Updated,Registered,DOC-00061,0.975,Verified,,2025-01-01,2025-06-01,14.655,77.5752
P0062,162,162,,KH00062,Synthetic Owner 062,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2202,57547.16,Pending,Registered,DOC-00062,0.724,Review Required,Missing mutation information,2025-01-01,2025-06-01,14.655,77.5776
P0063,163,163,,KH00063,Synthetic Owner 063,Synthetic Owner 563,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Joint,14.2202,57547.16,Updated,Registered,DOC-00063,0.93,Verified,,2025-01-01,2025-06-01,14.655,77.58
P0064,164,164,,KH00064,Synthetic Owner 064,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2202,57547.16,Updated,Registered,DOC-00064,0.939,Verified,,2025-01-01,2025-06-01,14.655,77.5824
P0065,165,165,,KH00065,Synthetic Owner 065,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2202,57547.16,Updated,Registered,DOC-00065,0.76,Review Required,Possible duplicate,2025-01-01,2025-06-01,14.655,77.5848
P0066,166,166/1,1,KH00066,Synthetic Owner 066,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2202,57547.16,Pending,Registered,DOC-00066,0.772,Review Required,Missing mutation information,2025-01-01,2025-06-01,14.655,77.5872
P0067,167,167,,KH00067,Synthetic Owner 067,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2202,57547.16,Updated,Registered,DOC-00067,0.624,Conflict,Survey number uncertainty,2025-01-01,2025-06-01,14.655,77.5896
P0068,168,168,,KH00068,Synthetic Owner 068,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2202,57547.16,Updated,Registered,DOC-00068,0.975,Verified,,2025-01-01,2025-06-01,14.655,77.592
P0069,169,169,,KH00069,Synthetic Owner 069,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2202,57547.16,Updated,Registered,DOC-00069,0.984,Verified,,2025-01-01,2025-06-01,14.655,77.5944
P0070,170,170,,KH00070,Synthetic Owner 070,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2202,57547.16,Updated,Registered,DOC-00070,0.93,Verified,,2025-01-01,2025-06-01,14.655,77.5968
P0071,171,171/3,3,KH00071,Synthetic Owner 071,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2202,57547.16,Updated,Registered,DOC-00071,0.939,Verified,,2025-01-01,2025-06-01,14.655,77.5992
P0072,172,172,,KH00072,Synthetic Owner 072,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2202,57547.16,Updated,Registered,DOC-00072,0.684,Review Required,Low OCR confidence,2025-01-01,2025-06-01,14.655,77.6016
P0073,173,173,,KH00073,Synthetic Owner 073,Synthetic Owner 573,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Joint,14.2202,57547.16,Updated,Registered,DOC-00073,0.957,Verified,,2025-01-01,2025-06-01,14.655,77.604
P0074,174,174,,KH00074,Synthetic Owner 074,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2202,57547.16,Updated,Registered,DOC-00074,0.966,Verified,,2025-01-01,2025-06-01,14.655,77.6064
P0075,175,175,,KH00075,Synthetic Owner 075,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2202,57547.16,Updated,Registered,DOC-00075,0.975,Verified,,2025-01-01,2025-06-01,14.655,77.6088
P0076,176,176/2,2,KH00076,Synthetic Owner 076,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2201,57546.75,Updated,Registered,DOC-00076,0.984,Verified,,2025-01-01,2025-06-01,14.657,77.5512
P0077,177,177,,KH00077,Synthetic Owner 077,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2201,57546.75,Updated,Registered,DOC-00077,0.93,Verified,,2025-01-01,2025-06-01,14.657,77.5536
P0078,178,178,,KH00078,Synthetic Owner 078,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2201,57546.75,Updated,Registered,DOC-00078,0.736,Review Required,Possible duplicate,2025-01-01,2025-06-01,14.657,77.556
P0079,179,179,,KH00079,Synthetic Owner 079,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2201,57546.75,Updated,Registered,DOC-00079,0.948,Verified,,2025-01-01,2025-06-01,14.657,77.5584
P0080,180,180,,KH00080,Synthetic Owner 080,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2201,57546.75,Updated,Registered,DOC-00080,0.957,Verified,,2025-01-01,2025-06-01,14.657,77.5608
P0081,181,181/1,1,KH00081,Synthetic Owner 081,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2201,57546.75,Updated,Registered,DOC-00081,0.966,Verified,,2025-01-01,2025-06-01,14.657,77.5632
P0082,182,182,,KH00082,Synthetic Owner 082,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2201,57546.75,Pending,Registered,DOC-00082,0.784,Review Required,Missing mutation information,2025-01-01,2025-06-01,14.657,77.5656
P0083,183,183,,KH00083,Synthetic Owner 083,Synthetic Owner 583,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Joint,14.2201,57546.75,Updated,Registered,DOC-00083,0.984,Verified,,2025-01-01,2025-06-01,14.657,77.568
P0084,184,184,,KH00084,Synthetic Owner 084,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2201,57546.75,Updated,Registered,DOC-00084,0.93,Verified,,2025-01-01,2025-06-01,14.657,77.5704
P0085,185,185,,KH00085,Synthetic Owner 085,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2201,57546.75,Updated,Registered,DOC-00085,0.939,Verified,,2025-01-01,2025-06-01,14.657,77.5728
P0086,186,186/3,3,KH00086,Synthetic Owner 086,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2201,57546.75,Updated,Registered,DOC-00086,0.948,Verified,,2025-01-01,2025-06-01,14.657,77.5752
P0087,187,187,,KH00087,Synthetic Owner 087,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2201,57546.75,Updated,Registered,DOC-00087,0.564,Conflict,Area mismatch,2025-01-01,2025-06-01,14.657,77.5776
P0088,188,188,,KH00088,Synthetic Owner 088,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2201,57546.75,Updated,Registered,DOC-00088,0.966,Verified,,2025-01-01,2025-06-01,14.657,77.58
P0089,189,189,,KH00089,Synthetic Owner 089,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2201,57546.75,Updated,Registered,DOC-00089,0.975,Verified,,2025-01-01,2025-06-01,14.657,77.5824
P0090,190,190,,KH00090,Synthetic Owner 090,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2201,57546.75,Updated,Registered,DOC-00090,0.984,Verified,,2025-01-01,2025-06-01,14.657,77.5848
P0091,191,191/2,2,KH00091,Synthetic Owner 091,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2201,57546.75,Pending,Registered,DOC-00091,0.712,Review Required,Missing mutation information,2025-01-01,2025-06-01,14.657,77.5872
P0092,192,192,,KH00092,Synthetic Owner 092,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2201,57546.75,Updated,Registered,DOC-00092,0.939,Verified,,2025-01-01,2025-06-01,14.657,77.5896
P0093,193,193,,KH00093,Synthetic Owner 093,Synthetic Owner 593,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Joint,14.2201,57546.75,Updated,Registered,DOC-00093,0.948,Verified,,2025-01-01,2025-06-01,14.657,77.592
P0094,194,194,,KH00094,Synthetic Owner 094,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2201,57546.75,Updated,Registered,DOC-00094,0.957,Verified,,2025-01-01,2025-06-01,14.657,77.5944
P0095,195,195,,KH00095,Synthetic Owner 095,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2201,57546.75,Updated,Registered,DOC-00095,0.966,Verified,,2025-01-01,2025-06-01,14.657,77.5968
P0096,196,196/1,1,KH00096,Synthetic Owner 096,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2201,57546.75,Updated,Registered,DOC-00096,0.975,Verified,,2025-01-01,2025-06-01,14.657,77.5992
P0097,197,197,,KH00097,Synthetic Owner 097,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2201,57546.75,Updated,Registered,DOC-00097,0.684,Conflict,Owner mismatch,2025-01-01,2025-06-01,14.657,77.6016
P0098,198,198,,KH00098,Synthetic Owner 098,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.2201,57546.75,Updated,Registered,DOC-00098,0.696,Review Required,Low OCR confidence,2025-01-01,2025-06-01,14.657,77.604
P0099,199,199,,KH00099,Synthetic Owner 099,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.2201,57546.75,Updated,Registered,DOC-00099,0.939,Verified,,2025-01-01,2025-06-01,14.657,77.6064
P0100,200,200,,KH00100,Synthetic Owner 100,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.2201,57546.75,Updated,Registered,DOC-00100,0.948,Verified,,2025-01-01,2025-06-01,14.657,77.6088
P0101,201,201/3,3,KH00101,Synthetic Owner 101,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.22,57546.35,Updated,Registered,DOC-00101,0.957,Verified,,2025-01-01,2025-06-01,14.659,77.5512
P0102,202,202,,KH00102,Synthetic Owner 102,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.22,57546.35,Updated,Registered,DOC-00102,0.444,Conflict,Survey number uncertainty,2025-01-01,2025-06-01,14.659,77.5536
P0103,203,203,,KH00103,Synthetic Owner 103,Synthetic Owner 603,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Joint,14.22,57546.35,Updated,Registered,DOC-00103,0.975,Verified,,2025-01-01,2025-06-01,14.659,77.556
P0104,204,204,,KH00104,Synthetic Owner 104,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.22,57546.35,Updated,Registered,DOC-00104,0.984,Verified,,2025-01-01,2025-06-01,14.659,77.5584
P0105,205,205,,KH00105,Synthetic Owner 105,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.22,57546.35,Updated,Registered,DOC-00105,0.93,Verified,,2025-01-01,2025-06-01,14.659,77.5608
P0106,206,206/2,2,KH00106,Synthetic Owner 106,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.22,57546.35,Updated,Registered,DOC-00106,0.939,Verified,,2025-01-01,2025-06-01,14.659,77.5632
P0107,207,207,,KH00107,Synthetic Owner 107,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.22,57546.35,Updated,Registered,DOC-00107,0.948,Verified,,2025-01-01,2025-06-01,14.659,77.5656
P0108,208,208,,KH00108,Synthetic Owner 108,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.22,57546.35,Updated,Registered,DOC-00108,0.957,Verified,,2025-01-01,2025-06-01,14.659,77.568
P0109,209,209,,KH00109,Synthetic Owner 109,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Government,Individual,14.22,57546.35,Updated,Registered,DOC-00109,0.966,Verified,,2025-01-01,2025-06-01,14.659,77.5704
P0110,210,210,,KH00110,Synthetic Owner 110,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Water Body,Individual,14.22,57546.35,Pending,Registered,DOC-00110,0.76,Review Required,Missing mutation information,2025-01-01,2025-06-01,14.659,77.5728
P0111,211,211/1,1,KH00111,Synthetic Owner 111,,Example Village,Example Mandal,Anantapur,Andhra Pradesh,Agricultural,Individual,14.22,57546.35,Updated,Registered,DOC-00111,0.984,Verified,,2025-01-01,2025-06-01,14.659,77.5752
