document_id,parcel_id,ocr_survey_number,ocr_owner_name,ocr_area_acres,ocr_village,ocr_confidence,extraction_status,validation_issue
DOC-00022,P0022,122,Synthetic Owner 022,14.2205,Example Village,0.939,Extracted,
DOC-00023,P0023,123,Synthetic Owner 023,14.2205,Example Village,0.948,Extracted,
DOC-00024,P0024,124,Synthetic Owner 024,14.2205,Example Village,0.708,Needs Review,Survey number uncertainty
DOC-00025,P0025,125,Synthetic Owner 025,14.2205,Example Village,0.966,Extracted,
DOC-00026,P0026,126/3,Synthetic Owner 026,14.2204,Example Village,0.432,Needs Review,Low OCR confidence
DOC-00027,P0027,127,Synthetic Owner 027,14.2204,Example Village,0.444,Needs Review,Survey number uncertainty
DOC-00028,P0028,128,Synthetic Owner 028,14.2204,Example Village,0.93,Extracted,
DOC-00029,P0029,129,Synthetic Owner 029,14.2204,Example Village,0.939,Extracted,
DOC-00030,P0030,130,Synthetic Owner 030,14.2204,Example Village,0.48,Needs Review,Survey number uncertainty
DOC-00031,P0031,131/2,Synthetic Owner 031,14.2204,Example Village,0.957,Extracted,
DOC-00032,P0032,132,Synthetic Owner 032,14.2204,Example Village,0.966,Extracted,
DOC-00033,P0033,133,Synthetic Owner 033,14.2204,Example Village,0.975,Extracted,
DOC-00034,P0034,134,Synthetic Owner 034,15.358,Example Village,0.528,Needs Review,Area mismatch
DOC-00035,P0035,135,Synthetic Owner 035,14.2204,Example Village,0.93,Extracted,
DOC-00036,P0036,136/1,Synthetic Owner 036,14.2204,Example Village,0.939,Extracted,
DOC-00037,P0037,137,Synthetic Owner 037,14.2204,Example Village,0.948,Extracted,
DOC-00038,P0038,138,Synthetic Owner 038,14.2204,Example Village,0.576,Needs Review,Low OCR confidence
DOC-00039,P0039,139,Synthetic Owner 039,14.2204,Example Village,0.966,Extracted,
DOC-00040,P0040,140,Synthetic Owner 040,14.2204,Example Village,0.975,Extracted,
DOC-00041,P0041,141/3,Synthetic Owner 041,14.2204,Example Village,0.984,Extracted,
DOC-00042,P0042,142,Synthetic Owner 042,14.2204,Example Village,0.844,Extracted,Missing mutation information
DOC-00043,P0043,143,Synthetic Owner 043,14.2204,Example Village,0.939,Extracted,
DOC-00044,P0044,144,Synthetic Owner 044,14.2204,Example Village,0.948,Extracted,
DOC-00045,P0045,145,Synthetic Owner 045,14.2204,Example Village,0.957,Extracted,
DOC-00046,P0046,146/2,Synthetic Owner 046,14.2204,Example Village,0.966,Extracted,
DOC-00047,P0047,147,Synthetic Owner 047,14.2204,Example Village,0.975,Extracted,
DOC-00048,P0048,148,Synthetic Owner 048,14.2204,Example Village,0.984,Extracted,
DOC-00049,P0049,149,Synthetic Owner 049,14.2204,Example Village,0.93,Extracted,
DOC-00050,P0050,150,Synthetic Owner 050,14.2204,Example Village,0.939,Extracted,
DOC-00051,P0051,151/1,Synthetic Owner 051,15.3578,Example Village,0.432,Needs Review,Area mismatch
DOC-00052,P0052,152,Synthetic Owner 052,14.2202,Example Village,0.957,Extracted,
DOC-00053,P0053,153,Synthetic Owner 053,14.2202,Example Village,0.966,Extracted,
DOC-00054,P0054,154,Synthetic Owner 054,14.2202,Example Village,0.468,Needs Review,Survey number uncertainty
DOC-00055,P0055,155,Synthetic Owner 055,14.2202,Example Village,0.984,Extracted,
DOC-00056,P0056,156/3,Synthetic Owner 056,14.2202,Example Village,0.93,Extracted,
DOC-00057,P0057,157,Synthetic Owner 057,14.2202,Example Village,0.939,Extracted,
DOC-00058,P0058,158,Synthetic Owner 058,14.2202,Example Village,0.948,Extracted,
DOC-00059,P0059,159,Synthetic Owner 059,14.2202,Example Village,0.957,Extracted,
DOC-00060,P0060,160,Synthetic Owner 060,14.2202,Example Village,0.966,Extracted,
DOC-00061,P0061,161/2,Synthetic Owner 061,14.2202,Example Village,0.975,Extracted,
DOC-00062,P0062,162,Synthetic Owner 062,14.2202,Example Village,0.724,Extracted,Missing mutation information
DOC-00063,P0063,163,Synthetic Owner 063,14.2202,Example Village,0.93,Extracted,
DOC-00064,P0064,164,Synthetic Owner 064,14.2202,Example Village,0.939,Extracted,
DOC-00065,P0065,165,Synthetic Owner 065,14.2202,Example Village,0.76,Extracted,Possible duplicate
DOC-00066,P0066,166/1,Synthetic Owner 066,14.2202,Example Village,0.772,Extracted,Missing mutation information
DOC-00067,P0067,167,Synthetic Owner 067,14.2202,Example Village,0.624,Needs Review,Survey number uncertainty
DOC-00068,P0068,168,Synthetic Owner 068,14.2202,Example Village,0.975,Extracted,
DOC-00069,P0069,169,Synthetic Owner 069,14.2202,Example Village,0.984,Extracted,
DOC-00070,P0070,170,Synthetic Owner 070,14.2202,Example Village,0.93,Extracted,
DOC-00071,P0071,171/3,Synthetic Owner 071,14.2202,Example Village,0.939,Extracted,
DOC-00072,P0072,172,Synthetic Owner 072,14.2202,Example Village,0.684,Needs Review,Low OCR confidence
DOC-00073,P0073,173,Synthetic Owner 073,14.2202,Example Village,0.957,Extracted,
DOC-00074,P0074,174,Synthetic Owner 074,14.2202,Example Village,0.966,Extracted,
DOC-00075,P0075,175,Synthetic Owner 075,14.2202,Example Village,0.975,Extracted,
DOC-00076,P0076,176/2,Synthetic Owner 076,14.2201,Example Village,0.984,Extracted,
DOC-00077,P0077,177,Synthetic Owner 077,14.2201,Example Village,0.93,Extracted,
DOC-00078,P0078,178,Synthetic Owner 078,14.2201,Example Village,0.736,Extracted,Possible duplicate
DOC-00079,P0079,179,Synthetic Owner 079,14.2201,Example Village,0.948,Extracted,
DOC-00080,P0080,180,Synthetic Owner 080,14.2201,Example Village,0.957,Extracted,
DOC-00081,P0081,181/1,Synthetic Owner 081,14.2201,Example Village,0.966,Extracted,
DOC-00082,P0082,182,Synthetic Owner 082,14.2201,Example Village,0.784,Extracted,Missing mutation information
DOC-00083,P0083,183,Synthetic Owner 083,14.2201,Example Village,0.984,Extracted,
DOC-00084,P0084,184,Synthetic Owner 084,14.2201,Example Village,0.93,Extracted,
DOC-00085,P0085,185,Synthetic Owner 085,14.2201,Example Village,0.939,Extracted,
DOC-00086,P0086,186/3,Synthetic Owner 086,14.2201,Example Village,0.948,Extracted,
DOC-00087,P0087,187,Synthetic Owner 087,15.3577,Example Village,0.564,Needs Review,Area mismatch
DOC-00088,P0088,188,Synthetic Owner 088,14.2201,Example Village,0.966,Extracted,
DOC-00089,P0089,189,Synthetic Owner 089,14.2201,Example Village,0.975,Extracted,
DOC-00090,P0090,190,Synthetic Owner 090,14.2201,Example Village,0.984,Extracted,
DOC-00091,P0091,191/2,Synthetic Owner 091,14.2201,Example Village,0.712,Extracted,Missing mutation information
DOC-00092,P0092,192,Synthetic Owner 092,14.2201,Example Village,0.939,Extracted,
DOC-00093,P0093,193,Synthetic Owner 093,14.2201,Example Village,0.948,Extracted,
DOC-00094,P0094,194,Synthetic Owner 094,14.2201,Example Village,0.957,Extracted,
DOC-00095,P0095,195,Synthetic Owner 095,14.2201,Example Village,0.966,Extracted,
DOC-00096,P0096,196/1,Synthetic Owner 096,14.2201,Example Village,0.975,Extracted,
DOC-00097,P0097,197,Synthetic Owner 115,14.2201,Example Village,0.684,Needs Review,Owner mismatch
DOC-00098,P0098,198,Synthetic Owner 098,14.2201,Example Village,0.696,Needs Review,Low OCR confidence
DOC-00099,P0099,199,Synthetic Owner 099,14.2201,Example Village,0.939,Extracted,
DOC-00100,P0100,200,Synthetic Owner 100,14.2201,Example Village,0.948,Extracted,
DOC-00101,P0101,201/3,Synthetic Owner 101,14.22,Example Village,0.957,Extracted,
DOC-00102,P0102,202,Synthetic Owner 102,14.22,Example Village,0.444,Needs Review,Survey number uncertainty
DOC-00103,P0103,203,Synthetic Owner 103,14.22,Example Village,0.975,Extracted,
DOC-00104,P0104,204,Synthetic Owner 104,14.22,Example Village,0.984,Extracted,
DOC-00105,P0105,205,Synthetic Owner 105,14.22,Example Village,0.93,Extracted,
DOC-00106,P0106,206/2,Synthetic Owner 106,14.22,Example Village,0.939,Extracted,
DOC-00107,P0107,207,Synthetic Owner 107,14.22,Example Village,0.948,Extracted,
DOC-00108,P0108,208,Synthetic Owner 108,14.22,Example Village,0.957,Extracted,
DOC-00109,P0109,209,Synthetic Owner 109,14.22,Example Village,0.966,Extracted,
DOC-00110,P0110,210,Synthetic Owner 110,14.22,Example Village,0.76,Extracted,Missing mutation information
DOC-00111,P0111,211/1,Synthetic Owner 111,14.22,Example Village,0.984,Extracted,
DOC-00112,P0112,212,Synthetic Owner 112,14.22,Example Village,0.564,Needs Review,Survey number uncertainty
DOC-00113,P0113,213,Synthetic Owner 113,14.22,Example Village,0.939,Extracted,
DOC-00114,P0114,214,Synthetic Owner 114,14.22,Example Village,0.948,Extracted,
DOC-00115,P0115,215,Synthetic Owner 115,14.22,Example Village,0.957,Extracted,
DOC-00116,P0116,216/3,Synthetic Owner 116,14.22,Example Village,0.966,Extracted,
DOC-00117,P0117,217,Synthetic Owner 117,15.3576,Example Village,0.624,Needs Review,Area mismatch
DOC-00118,P0118,218,Synthetic Owner 118,14.22,Example Village,0.984,Extracted,
DOC-00119,P0119,219,Synthetic Owner 119,14.22,Example Village,0.868,Extracted,Possible duplicate
DOC-00120,P0120,220,Synthetic Owner 120,14.22,Example Village,0.7,Extracted,Missing mutation information
DOC-00121,P0121,221/2,Synthetic Owner 139,14.22,Example Village,0.672,Needs Review,Owner mismatch
DOC-00122,P0122,222,Synthetic Owner 122,14.22,Example Village,0.724,Extracted,Missing mutation information
DOC-00123,P0123,223,Synthetic Owner 123,14.22,Example Village,0.966,Extracted,
DOC-00124,P0124,224,Synthetic Owner 124,14.22,Example Village,0.975,Extracted,
DOC-00125,P0125,225,Synthetic Owner 125,14.22,Example Village,0.984,Extracted,
DOC-00126,P0126,226/1,Synthetic Owner 126,14.2198,Example Village,0.93,Extracted,
DOC-00127,P0127,227,Synthetic Owner 127,14.2198,Example Village,0.939,Extracted,
DOC-00128,P0128,228,Synthetic Owner 128,14.2198,Example Village,0.456,Needs Review,Low OCR confidence
DOC-00129,P0129,229,Synthetic Owner 129,14.2198,Example Village,0.808,Extracted,Missing mutation information
DOC-00130,P0130,230,Synthetic Owner 130,14.2198,Example Village,0.82,Extracted,Missing mutation information
DOC-00131,P0131,231/3,Synthetic Owner 131,14.2198,Example Village,0.975,Extracted,
DOC-00132,P0132,232,Synthetic Owner 132,14.2198,Example Village,0.984,Extracted,
DOC-00133,P0133,233,Synthetic Owner 133,14.2198,Example Village,0.93,Extracted,
DOC-00134,P0134,234,Synthetic Owner 134,14.2198,Example Village,0.939,Extracted,
DOC-00135,P0135,235,Synthetic Owner 135,14.2198,Example Village,0.948,Extracted,
DOC-00136,P0136,236/2,Synthetic Owner 136,14.2198,Example Village,0.957,Extracted,
DOC-00137,P0137,237,Synthetic Owner 137,14.2198,Example Village,0.966,Extracted,
DOC-00138,P0138,238,Synthetic Owner 138,14.2198,Example Village,0.975,Extracted,
DOC-00139,P0139,239,Synthetic Owner 139,14.2198,Example Village,0.588,Needs Review,Low OCR confidence
DOC-00140,P0140,240,Synthetic Owner 140,14.2198,Example Village,0.93,Extracted,
DOC-00141,P0141,241/1,Synthetic Owner 141,14.2198,Example Village,0.772,Extracted,Possible duplicate
DOC-00142,P0142,242,Synthetic Owner 142,14.2198,Example Village,0.784,Extracted,Possible duplicate
DOC-00143,P0143,243,Synthetic Owner 143,14.2198,Example Village,0.636,Needs Review,Low OCR confidence
DOC-00144,P0144,244,Synthetic Owner 144,14.2198,Example Village,0.966,Extracted,
DOC-00145,P0145,245,Synthetic Owner 145,14.2198,Example Village,0.66,Needs Review,Low OCR confidence
DOC-00146,P0146,246/3,Synthetic Owner 146,15.3574,Example Village,0.672,Needs Review,Area mismatch
DOC-00147,P0147,247,Synthetic Owner 147,14.2198,Example Village,0.93,Extracted,
DOC-00148,P0148,248,Synthetic Owner 148,14.2198,Example Village,0.939,Extracted,
DOC-00149,P0149,249,Synthetic Owner 149,14.2198,Example Village,0.868,Extracted,Missing mutation information
DOC-00150,P0150,250,Synthetic Owner 150,14.2198,Example Village,0.957,Extracted,
DOC-00151,P0151,251/2,Synthetic Owner 151,14.2197,Example Village,0.966,Extracted,
DOC-00152,P0152,252,Synthetic Owner 152,14.2197,Example Village,0.975,Extracted,
DOC-00153,P0153,253,Synthetic Owner 153,14.2197,Example Village,0.984,Extracted,
DOC-00154,P0154,254,Synthetic Owner 154,14.2197,Example Village,0.93,Extracted,
DOC-00155,P0155,255,Synthetic Owner 155,14.2197,Example Village,0.939,Extracted,
DOC-00156,P0156,256/1,Synthetic Owner 156,14.2197,Example Village,0.772,Extracted,Possible duplicate
DOC-00157,P0157,257,Synthetic Owner 157,14.2197,Example Village,0.957,Extracted,
DOC-00158,P0158,258,Synthetic Owner 158,14.2197,Example Village,0.796,Extracted,Missing mutation information
DOC-00159,P0159,259,Synthetic Owner 159,14.2197,Example Village,0.975,Extracted,
DOC-00160,P0160,260,Synthetic Owner 160,14.2197,Example Village,0.984,Extracted,
DOC-00161,P0161,261/3,Synthetic Owner 161,14.2197,Example Village,0.93,Extracted,
DOC-00162,P0162,262,Synthetic Owner 162,14.2197,Example Village,0.844,Extracted,Missing mutation information
DOC-00163,P0163,263,Synthetic Owner 163,14.2197,Example Village,0.948,Extracted,
DOC-00164,P0164,264,Synthetic Owner 164,14.2197,Example Village,0.588,Needs Review,Low OCR confidence
DOC-00165,P0165,265,Synthetic Owner 165,14.2197,Example Village,0.966,Extracted,
DOC-00166,P0166,266/2,Synthetic Owner 166,14.2197,Example Village,0.975,Extracted,
DOC-00167,P0167,267,Synthetic Owner 167,14.2197,Example Village,0.724,Extracted,Missing mutation information
DOC-00168,P0168,268,Synthetic Owner 168,14.2197,Example Village,0.736,Extracted,Missing mutation information
DOC-00169,P0169,269,Synthetic Owner 169,14.2197,Example Village,0.939,Extracted,
DOC-00170,P0170,270,Synthetic Owner 170,14.2197,Example Village,0.948,Extracted,
DOC-00171,P0171,271/1,Synthetic Owner 171,14.2197,Example Village,0.957,Extracted,
DOC-00172,P0172,272,Synthetic Owner 172,14.2197,Example Village,0.784,Extracted,Missing mutation information
DOC-00173,P0173,273,Synthetic Owner 173,15.3573,Example Village,0.696,Needs Review,Area mismatch
DOC-00174,P0174,274,Synthetic Owner 174,14.2197,Example Village,0.808,Extracted,Possible duplicate
DOC-00175,P0175,275,Synthetic Owner 175,15.3573,Example Village,0.42,Needs Review,Area mismatch
DOC-00176,P0176,276/3,Synthetic Owner 176,14.2196,Example Village,0.939,Extracted,
DOC-00177,P0177,277,Synthetic Owner 177,14.2196,Example Village,0.948,Extracted,
DOC-00178,P0178,278,Synthetic Owner 178,14.2196,Example Village,0.456,Needs Review,Low OCR confidence
DOC-00179,P0179,279,Synthetic Owner 179,14.2196,Example Village,0.966,Extracted,
DOC-00180,P0180,280,Synthetic Owner 180,14.2196,Example Village,0.7,Extracted,Missing mutation information
DOC-00181,P0181,281/2,Synthetic Owner 181,14.2196,Example Village,0.984,Extracted,
DOC-00182,P0182,282,Synthetic Owner 182,14.2196,Example Village,0.724,Extracted,Missing mutation information
DOC-00183,P0183,283,Synthetic Owner 183,14.2196,Example Village,0.736,Extracted,Missing mutation information
DOC-00184,P0184,284,Synthetic Owner 184,14.2196,Example Village,0.948,Extracted,
DOC-00185,P0185,285,Synthetic Owner 185,14.2196,Example Village,0.957,Extracted,
DOC-00186,P0186,286/1,Synthetic Owner 186,14.2196,Example Village,0.772,Extracted,Missing mutation information
DOC-00187,P0187,287,Synthetic Owner 187,14.2196,Example Village,0.975,Extracted,
DOC-00188,P0188,288,Synthetic Owner 188,14.2196,Example Village,0.984,Extracted,
DOC-00189,P0189,289,Synthetic Owner 189,14.2196,Example Village,0.93,Extracted,
DOC-00190,P0190,290,Synthetic Owner 190,14.2196,Example Village,0.939,Extracted,
DOC-00191,P0191,291/3,Synthetic Owner 191,14.2196,Example Village,0.948,Extracted,
DOC-00192,P0192,292,Synthetic Owner 192,14.2196,Example Village,0.844,Extracted,Possible duplicate
DOC-00193,P0193,293,Synthetic Owner 193,14.2196,Example Village,0.966,Extracted,
DOC-00194,P0194,294,Synthetic Owner 194,14.2196,Example Village,0.648,Needs Review,Survey number uncertainty
DOC-00195,P0195,295,Synthetic Owner 195,14.2196,Example Village,0.984,Extracted,
DOC-00196,P0196,296/2,Synthetic Owner 196,14.2196,Example Village,0.93,Extracted,
DOC-00197,P0197,297,Synthetic Owner 197,14.2196,Example Village,0.939,Extracted,
DOC-00198,P0198,298,Synthetic Owner 198,15.3572,Example Village,0.696,Needs Review,Area mismatch
DOC-00199,P0199,299,Synthetic Owner 199,14.2196,Example Village,0.957,Extracted,
DOC-00200,P0200,300,Synthetic Owner 200,14.2196,Example Village,0.966,Extracted,
DOC-00201,P0201,301/1,Synthetic Owner 201,14.2195,Example Village,0.772,Extracted,Missing mutation information
DOC-00202,P0202,302,Synthetic Owner 202,14.2195,Example Village,0.984,Extracted,
DOC-00203,P0203,303,Synthetic Owner 203,15.3571,Example Village,0.456,Needs Review,Area mismatch
DOC-00204,P0204,304,Synthetic Owner 204,14.2195,Example Village,0.468,Needs Review,Low OCR confidence
DOC-00205,P0205,305,Synthetic Owner 223,14.2195,Example Village,0.48,Needs Review,Owner mismatch
DOC-00206,P0206,306/3,Synthetic Owner 206,14.2195,Example Village,0.832,Extracted,Possible duplicate
DOC-00207,P0207,307,Synthetic Owner 207,14.2195,Example Village,0.966,Extracted,
DOC-00208,P0208,308,Synthetic Owner 208,14.2195,Example Village,0.975,Extracted,
DOC-00209,P0209,309,Synthetic Owner 209,14.2195,Example Village,0.868,Extracted,Possible duplicate
DOC-00210,P0210,310,Synthetic Owner 210,14.2195,Example Village,0.93,Extracted,
DOC-00211,P0211,311/2,Synthetic Owner 211,14.2195,Example Village,0.939,Extracted,
DOC-00212,P0212,312,Synthetic Owner 212,14.2195,Example Village,0.948,Extracted,
DOC-00213,P0213,313,Synthetic Owner 213,14.2195,Example Village,0.957,Extracted,
DOC-00214,P0214,314,Synthetic Owner 214,14.2195,Example Village,0.966,Extracted,
DOC-00215,P0215,315,Synthetic Owner 215,14.2195,Example Village,0.975,Extracted,
DOC-00216,P0216,316/1,Synthetic Owner 234,14.2195,Example Village,0.612,Needs Review,Owner mismatch
DOC-00217,P0217,317,Synthetic Owner 217,14.2195,Example Village,0.93,Extracted,
DOC-00218,P0218,318,Synthetic Owner 218,14.2195,Example Village,0.939,Extracted,
DOC-00219,P0219,319,Synthetic Owner 219,14.2195,Example Village,0.948,Extracted,
DOC-00220,P0220,320,Synthetic Owner 220,14.2195,Example Village,0.957,Extracted,
DOC-00221,P0221,321/3,Synthetic Owner 221,14.2195,Example Village,0.966,Extracted,
DOC-00222,P0222,322,Synthetic Owner 222,14.2195,Example Village,0.844,Extracted,Possible duplicate
DOC-00223,P0223,323,Synthetic Owner 223,14.2195,Example Village,0.984,Extracted,
DOC-00224,P0224,324,Synthetic Owner 224,14.2195,Example Village,0.93,Extracted,
DOC-00225,P0225,325,Synthetic Owner 225,14.2195,Example Village,0.939,Extracted,
DOC-00226,P0226,326/2,Synthetic Owner 226,14.2193,Example Village,0.948,Extracted,
DOC-00227,P0227,327,Synthetic Owner 227,14.2193,Example Village,0.957,Extracted,
DOC-00228,P0228,328,Synthetic Owner 228,14.2193,Example Village,0.736,Extracted,Missing mutation information
DOC-00229,P0229,329,Synthetic Owner 229,14.2193,Example Village,0.975,Extracted,
DOC-00230,P0230,330,Synthetic Owner 230,14.2193,Example Village,0.984,Extracted,
DOC-00231,P0231,331/1,Synthetic Owner 231,14.2193,Example Village,0.93,Extracted,
DOC-00232,P0232,332,Synthetic Owner 232,14.2193,Example Village,0.939,Extracted,
DOC-00233,P0233,333,Synthetic Owner 233,14.2193,Example Village,0.948,Extracted,
DOC-00234,P0234,334,Synthetic Owner 234,14.2193,Example Village,0.957,Extracted,
DOC-00235,P0235,335,Synthetic Owner 235,14.2193,Example Village,0.966,Extracted,
DOC-00236,P0236,336/3,Synthetic Owner 236,14.2193,Example Village,0.975,Extracted,
DOC-00237,P0237,337,Synthetic Owner 237,14.2193,Example Village,0.984,Extracted,
DOC-00238,P0238,338,Synthetic Owner 238,14.2193,Example Village,0.93,Extracted,
DOC-00239,P0239,339,Synthetic Owner 239,15.3568,Example Village,0.588,Needs Review,Area mismatch
DOC-00240,P0240,340,Synthetic Owner 240,14.2193,Example Village,0.948,Extracted,
DOC-00241,P0241,341/2,Synthetic Owner 241,14.2193,Example Village,0.957,Extracted,
DOC-00242,P0242,342,Synthetic Owner 242,14.2193,Example Village,0.624,Needs Review,Low OCR confidence
DOC-00243,P0243,343,Synthetic Owner 243,14.2193,Example Village,0.975,Extracted,
DOC-00244,P0244,344,Synthetic Owner 244,14.2193,Example Village,0.984,Extracted,
DOC-00245,P0245,345,Synthetic Owner 245,14.2193,Example Village,0.66,Needs Review,Survey number uncertainty
DOC-00246,P0246,346/1,Synthetic Owner 246,14.2193,Example Village,0.939,Extracted,
DOC-00247,P0247,347,Synthetic Owner 247,14.2193,Example Village,0.948,Extracted,
DOC-00248,P0248,348,Synthetic Owner 248,14.2193,Example Village,0.796,Extracted,Possible duplicate
DOC-00249,P0249,349,Synthetic Owner 249,14.2193,Example Village,0.966,Extracted,
DOC-00250,P0250,350,Synthetic Owner 250,14.2193,Example Village,0.975,Extracted,
DOC-00251,P0251,351/3,Synthetic Owner 251,14.2192,Example Village,0.984,Extracted,
DOC-00252,P0252,352,Synthetic Owner 252,14.2192,Example Village,0.93,Extracted,
DOC-00253,P0253,353,Synthetic Owner 253,14.2192,Example Village,0.939,Extracted,
DOC-00254,P0254,354,Synthetic Owner 254,14.2192,Example Village,0.868,Extracted,Missing mutation information
DOC-00255,P0255,355,Synthetic Owner 255,14.2192,Example Village,0.7,Extracted,Possible duplicate
DOC-00256,P0256,356/2,Synthetic Owner 256,14.2192,Example Village,0.966,Extracted,
DOC-00257,P0257,357,Synthetic Owner 257,14.2192,Example Village,0.724,Extracted,Missing mutation information
DOC-00258,P0258,358,Synthetic Owner 258,14.2192,Example Village,0.984,Extracted,
DOC-00259,P0259,359,Synthetic Owner 259,14.2192,Example Village,0.93,Extracted,
DOC-00260,P0260,360,Synthetic Owner 260,14.2192,Example Village,0.939,Extracted,
DOC-00261,P0261,361/1,Synthetic Owner 261,14.2192,Example Village,0.552,Needs Review,Low OCR confidence
DOC-00262,P0262,362,Synthetic Owner 262,14.2192,Example Village,0.957,Extracted,
DOC-00263,P0263,363,Synthetic Owner 263,14.2192,Example Village,0.796,Extracted,Possible duplicate
DOC-00264,P0264,364,Synthetic Owner 264,14.2192,Example Village,0.975,Extracted,
DOC-00265,P0265,365,Synthetic Owner 265,14.2192,Example Village,0.984,Extracted,
DOC-00266,P0266,366/3,Synthetic Owner 266,14.2192,Example Village,0.93,Extracted,
DOC-00267,P0267,367,Synthetic Owner 267,14.2192,Example Village,0.939,Extracted,
DOC-00268,P0268,368,Synthetic Owner 268,14.2192,Example Village,0.856,Extracted,Possible duplicate
DOC-00269,P0269,369,Synthetic Owner 269,15.3567,Example Village,0.648,Needs Review,Area mismatch
DOC-00270,P0270,370,Synthetic Owner 270,14.2192,Example Village,0.966,Extracted,
DOC-00271,P0271,371/2,Synthetic Owner 271,14.2192,Example Village,0.975,Extracted,
DOC-00272,P0272,372,Synthetic Owner 272,14.2192,Example Village,0.984,Extracted,
DOC-00273,P0273,373,Synthetic Owner 273,14.2192,Example Village,0.93,Extracted,
DOC-00274,P0274,374,Synthetic Owner 292,14.2192,Example Village,0.708,Needs Review,Owner mismatch
DOC-00275,P0275,375,Synthetic Owner 275,14.2192,Example Village,0.948,Extracted,
DOC-00276,P0276,376/1,Synthetic Owner 276,14.2191,Example Village,0.957,Extracted,
DOC-00277,P0277,377,Synthetic Owner 277,14.2191,Example Village,0.966,Extracted,
DOC-00278,P0278,378,Synthetic Owner 278,14.2191,Example Village,0.975,Extracted,
DOC-00279,P0279,379,Synthetic Owner 279,14.2191,Example Village,0.808,Extracted,Missing mutation information
DOC-00280,P0280,380,Synthetic Owner 280,14.2191,Example Village,0.93,Extracted,
DOC-00281,P0281,381/3,Synthetic Owner 281,14.2191,Example Village,0.939,Extracted,
DOC-00282,P0282,382,Synthetic Owner 282,14.2191,Example Village,0.948,Extracted,
DOC-00283,P0283,383,Synthetic Owner 283,14.2191,Example Village,0.957,Extracted,
DOC-00284,P0284,384,Synthetic Owner 284,14.2191,Example Village,0.966,Extracted,
DOC-00285,P0285,385,Synthetic Owner 285,14.2191,Example Village,0.975,Extracted,
DOC-00286,P0286,386/2,Synthetic Owner 286,14.2191,Example Village,0.984,Extracted,
DOC-00287,P0287,387,Synthetic Owner 287,14.2191,Example Village,0.93,Extracted,
DOC-00288,P0288,388,Synthetic Owner 288,14.2191,Example Village,0.939,Extracted,
DOC-00289,P0289,389,Synthetic Owner 289,14.2191,Example Village,0.588,Needs Review,Survey number uncertainty
DOC-00290,P0290,390,Synthetic Owner 290,14.2191,Example Village,0.957,Extracted,
DOC-00291,P0291,391/1,Synthetic Owner 291,14.2191,Example Village,0.966,Extracted,
DOC-00292,P0292,392,Synthetic Owner 292,14.2191,Example Village,0.784,Extracted,Possible duplicate
DOC-00293,P0293,393,Synthetic Owner 311,14.2191,Example Village,0.636,Needs Review,Owner mismatch
DOC-00294,P0294,394,Synthetic Owner 294,14.2191,Example Village,0.93,Extracted,
DOC-00295,P0295,395,Synthetic Owner 313,14.2191,Example Village,0.66,Needs Review,Owner mismatch
DOC-00296,P0296,396/3,Synthetic Owner 296,14.2191,Example Village,0.948,Extracted,
DOC-00297,P0297,397,Synthetic Owner 297,14.2191,Example Village,0.684,Needs Review,Low OCR confidence
